Europawahl  13. Juni 2004;;;;;;;;(Stand 21.06.2004 17:00);;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;FPÖ;;GRÜNE;;LINKE;;MARTIN;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40834;Wendling                      ;596;309;51,85;18;5,83;291;94,17;41;14,09;163;56,01;55;18,90;14;4,81;0;0,00;18;6,19;13.06.04;13:10:50;13.06.04;13:10:50
40900;Bezirk Kirchdorf an der Krems        ;40.850;19.239;47,10;589;3,06;18.650;96,94;6.167;33,07;6.912;37,06;1.351;7,24;1.787;9,58;72;0,39;2.361;12,66;13.06.04;16:33:30;13.06.04;16:33:30
40901;Edlbach                       ;491;279;56,82;9;3,23;270;96,77;73;27,04;127;47,04;18;6,67;18;6,67;0;0,00;34;12,59;13.06.04;15:04:41;13.06.04;15:04:41
40902;Grünburg                      ;2.785;1.189;42,69;45;3,78;1.144;96,22;407;35,58;397;34,70;94;8,22;88;7,69;1;0,09;157;13,72;13.06.04;14:54:52;13.06.04;14:54:52
40903;Hinterstoder                  ;794;342;43,07;8;2,34;334;97,66;74;22,16;143;42,81;43;12,87;31;9,28;2;0,60;41;12,28;13.06.04;14:55:59;13.06.04;14:55:59
40904;Inzersdorf im Kremstal        ;1.345;642;47,73;33;5,14;609;94,86;160;26,27;279;45,81;31;5,09;46;7,55;1;0,16;92;15,11;13.06.04;15:39:48;13.06.04;15:39:48
40905;Kirchdorf an der Krems        ;3.066;1.445;47,13;30;2,08;1.415;97,92;551;38,94;415;29,33;105;7,42;193;13,64;6;0,42;145;10,25;13.06.04;16:33:30;13.06.04;16:33:30
40906;Klaus an der Pyhrnbahn        ;854;464;54,33;11;2,37;453;97,63;238;52,54;100;22,08;32;7,06;18;3,97;1;0,22;64;14,13;13.06.04;14:25:22;13.06.04;14:25:22
40907;Kremsmünster                  ;4.567;2.110;46,20;63;2,99;2.047;97,01;524;25,60;889;43,43;143;6,99;163;7,96;8;0,39;320;15,63;13.06.04;15:49:16;13.06.04;15:49:16
40908;Micheldorf in Oberösterreich  ;4.235;1.957;46,21;57;2,91;1.900;97,09;819;43,11;439;23,11;129;6,79;245;12,89;12;0,63;256;13,47;13.06.04;15:43:16;13.06.04;15:43:16
40909;Molln                         ;2.715;1.319;48,58;37;2,81;1.282;97,19;535;41,73;373;29,10;72;5,62;133;10,37;3;0,23;166;12,95;13.06.04;14:48:07;13.06.04;14:48:07
40910;Nußbach                       ;1.678;781;46,54;20;2,56;761;97,44;188;24,70;421;55,32;26;3,42;60;7,88;1;0,13;65;8,54;13.06.04;15:15:06;13.06.04;15:15:06
40911;Oberschlierbach               ;355;163;45,92;1;0,61;162;99,39;46;28,40;87;53,70;5;3,09;13;8,02;2;1,23;9;5,56;13.06.04;12:43:08;13.06.04;12:43:08
40912;Pettenbach                    ;3.409;1.517;44,50;66;4,35;1.451;95,65;414;28,53;483;33,29;157;10,82;161;11,10;16;1,10;220;15,16;13.06.04;16:20:12;13.06.04;16:20:12
40913;Ried im Traunkreis            ;1.890;875;46,30;31;3,54;844;96,46;213;25,24;407;48,22;63;7,46;67;7,94;1;0,12;93;11,02;13.06.04;15:05:15;13.06.04;15:05:15
40914;Rosenau am Hengstpaß          ;528;252;47,73;6;2,38;246;97,62;125;50,81;65;26,42;9;3,66;20;8,13;0;0,00;27;10,98;13.06.04;16:11:37;13.06.04;16:11:37
