 Europaparlamentswahl  1999 - Stimmen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;LIF;;CSA;;KPÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40000;Land Oberösterreich                ;991 397;552 259;55,71;19 054;3,45;533 205;96,55;170 627;32,00;163 715;30,70;133 133;24,97;46 089;8,64;10 143;1,90;6 622;1,24;2 876;0,54;14.06.1999;0:11:53;21.06.1999;17:34:05
4A000;Wahlkreis Linz und Umgebung             ;227 822;116 296;51,05;2 685;2,31;113 611;97,69;25 595;22,53;42 321;37,25;28 033;24,67;12 247;10,78;3 168;2,79;1 375;1,21;872;0,77;14.06.1999;0:11:53;21.06.1999;17:31:37
4A099;Wahlkarten Linz und Umgebung  ; ;999; ;9;0,90;990;99,10;286;28,89;333;33,64;149;15,05;153;15,45;43;4,34;20;2,02;6;0,61;21.06.1999;17:31:37;21.06.1999;17:31:37
4B000;Wahlkreis Innviertel                    ;151 656;80 949;53,38;2 834;3,50;78 115;96,50;27 604;35,34;18 455;23,63;24 286;31,09;5 378;6,88;1 101;1,41;975;1,25;316;0,40;13.06.1999;23:36:59;21.06.1999;17:32:17
4B099;Wahlkarten Innviertel         ; ;359; ;3;0,84;356;99,16;110;30,90;91;25,56;77;21,63;46;12,92;22;6,18;8;2,25;2;0,56;21.06.1999;17:32:17;21.06.1999;17:32:17
4C000;Wahlkreis Hausruckviertel               ;240 369;133 763;55,65;4 945;3,70;128 818;96,30;40 942;31,78;37 443;29,07;34 627;26,88;10 961;8,51;2 447;1,90;1 722;1,34;676;0,52;13.06.1999;23:55:18;21.06.1999;17:32:55
4C099;Wahlkarten Hausruckviertel    ; ;691; ;10;1,45;681;98,55;269;39,50;166;24,38;112;16,45;85;12,48;30;4,41;15;2,20;4;0,59;21.06.1999;17:32:55;21.06.1999;17:32:55
4D000;Wahlkreis Traunviertel                  ;182 561;104 631;57,31;3 934;3,76;100 697;96,24;28 918;28,72;34 968;34,73;24 616;24,45;8 640;8,58;1 847;1,83;1 153;1,15;555;0,55;13.06.1999;23:46:45;21.06.1999;17:33:33
4D099;Wahlkarten Traunviertel       ; ;772; ;9;1,17;763;98,83;274;35,91;236;30,93;98;12,84;101;13,24;32;4,19;14;1,83;8;1,05;21.06.1999;17:33:33;21.06.1999;17:33:33
4E000;Wahlkreis Mühlviertel                   ;188 989;116 620;61,71;4 656;3,99;111 964;96,01;47 568;42,49;30 528;27,27;21 571;19,27;8 863;7,92;1 580;1,41;1 397;1,25;457;0,41;13.06.1999;23:58:16;21.06.1999;17:34:05
4E099;Wahlkarten Mühlviertel        ; ;519; ;14;2,70;505;97,30;205;40,59;130;25,74;63;12,48;65;12,87;22;4,36;15;2,97;5;0,99;21.06.1999;17:34:05;21.06.1999;17:34:05
40101;Linz                          ;136 126;64 814;47,61;1 282;1,98;63 532;98,02;12 992;20,45;23 813;37,48;15 709;24,73;7 657;12,05;1 974;3,11;769;1,21;618;0,97;13.06.1999;23:32:43;13.06.1999;23:32:43
40201;Steyr                         ;28 781;15 112;52,51;379;2,51;14 733;97,49;2 372;16,10;6 572;44,61;3 696;25,09;1 502;10,19;343;2,33;101;0,69;147;1,00;13.06.1999;23:09:05;13.06.1999;23:09:05
40301;Wels                          ;38 629;19 778;51,20;394;1,99;19 384;98,01;4 192;21,63;6 505;33,56;5 736;29,59;1 979;10,21;591;3,05;229;1,18;152;0,78;13.06.1999;23:37:26;13.06.1999;23:37:26
40400;Bezirk Braunau am Inn                ;68 267;34 058;49,89;1 118;3,28;32 940;96,72;10 398;31,57;8 777;26,65;10 386;31,53;2 362;7,17;471;1,43;408;1,24;138;0,42;13.06.1999;23:34:07;13.06.1999;23:34:07
40401;Altheim                       ;3 635;1 871;51,47;48;2,57;1 823;97,43;488;26,77;492;26,99;675;37,03;126;6,91;20;1,10;18;0,99;4;0,22;13.06.1999;23:09:33;13.06.1999;23:09:33
40402;Aspach                        ;1 701;928;54,56;31;3,34;897;96,66;428;47,71;147;16,39;248;27,65;51;5,69;8;0,89;14;1,56;1;0,11;13.06.1999;23:06:07;13.06.1999;23:06:07
40403;Auerbach                      ;365;242;66,30;14;5,79;228;94,21;126;55,26;32;14,04;50;21,93;12;5,26;3;1,32;5;2,19;0;0,00;13.06.1999;22:34:07;13.06.1999;22:34:07
40404;Braunau am Inn                ;12 095;5 736;47,42;105;1,83;5 631;98,17;967;17,17;1 890;33,56;1 910;33,92;651;11,56;116;2,06;62;1,10;35;0,62;13.06.1999;23:34:07;13.06.1999;23:34:07
40405;Burgkirchen                   ;1 802;996;55,27;32;3,21;964;96,79;353;36,62;222;23,03;308;31,95;56;5,81;13;1,35;8;0,83;4;0,41;13.06.1999;23:17:32;13.06.1999;23:17:32
40406;Eggelsberg                    ;1 494;611;40,90;27;4,42;584;95,58;196;33,56;112;19,18;221;37,84;36;6,16;9;1,54;9;1,54;1;0,17;13.06.1999;23:00:16;13.06.1999;23:00:16
40407;Feldkirchen bei Mattighofen   ;1 279;637;49,80;26;4,08;611;95,92;243;39,77;116;18,99;215;35,19;20;3,27;4;0,65;12;1,96;1;0,16;13.06.1999;23:15:39;13.06.1999;23:15:39
40408;Franking                      ;598;343;57,36;8;2,33;335;97,67;148;44,18;66;19,70;96;28,66;12;3,58;1;0,30;12;3,58;0;0,00;13.06.1999;22:37:17;13.06.1999;22:37:17
40409;Geretsberg                    ;734;380;51,77;19;5,00;361;95,00;176;48,75;50;13,85;119;32,96;6;1,66;4;1,11;6;1,66;0;0,00;13.06.1999;22:33:52;13.06.1999;22:33:52
40410;Gilgenberg am Weilhart        ;853;372;43,61;19;5,11;353;94,89;128;36,26;49;13,88;144;40,79;19;5,38;4;1,13;7;1,98;2;0,57;13.06.1999;22:53:50;13.06.1999;22:53:50
40411;Haigermoos                    ;389;238;61,18;9;3,78;229;96,22;93;40,61;35;15,28;79;34,50;19;8,30;3;1,31;0;0,00;0;0,00;13.06.1999;22:30:41;13.06.1999;22:30:41
40412;Handenberg                    ;947;465;49,10;20;4,30;445;95,70;193;43,37;80;17,98;135;30,34;25;5,62;5;1,12;6;1,35;1;0,22;13.06.1999;23:27:12;13.06.1999;23:27:12
40413;Helpfau-Uttendorf             ;2 235;1 154;51,63;32;2,77;1 122;97,23;328;29,23;290;25,85;396;35,29;66;5,88;10;0,89;28;2,50;4;0,36;13.06.1999;23:06:50;13.06.1999;23:06:50
40414;Hochburg-Ach                  ;2 213;1 095;49,48;24;2,19;1 071;97,81;441;41,18;224;20,92;277;25,86;88;8,22;23;2,15;14;1,31;4;0,37;13.06.1999;23:16:49;13.06.1999;23:16:49
40415;Höhnhart                      ;1 069;551;51,54;7;1,27;544;98,73;207;38,05;114;20,96;173;31,80;28;5,15;3;0,55;15;2,76;4;0,74;13.06.1999;22:41:22;13.06.1999;22:41:22
40416;Jeging                        ;410;242;59,02;11;4,55;231;95,45;83;35,93;63;27,27;64;27,71;5;2,16;4;1,73;6;2,60;6;2,60;13.06.1999;22:44:06;13.06.1999;22:44:06
40417;Kirchberg bei Mattighofen     ;733;368;50,20;6;1,63;362;98,37;153;42,27;47;12,98;133;36,74;19;5,25;5;1,38;3;0,83;2;0,55;13.06.1999;22:54:05;13.06.1999;22:54:05
40418;Lengau                        ;3 097;1 319;42,59;35;2,65;1 284;97,35;296;23,05;522;40,65;329;25,62;98;7,63;20;1,56;11;0,86;8;0,62;13.06.1999;23:15:26;13.06.1999;23:15:26
40419;Lochen                        ;1 653;752;45,49;55;7,31;697;92,69;315;45,19;112;16,07;200;28,69;44;6,31;17;2,44;7;1,00;2;0,29;13.06.1999;22:59:42;13.06.1999;22:59:42
40420;Maria Schmolln                ;950;543;57,16;37;6,81;506;93,19;242;47,83;94;18,58;136;26,88;20;3,95;3;0,59;10;1,98;1;0,20;13.06.1999;22:55:11;13.06.1999;22:55:11
40421;Mattighofen                   ;3 405;1 717;50,43;54;3,15;1 663;96,85;326;19,60;614;36,92;522;31,39;132;7,94;51;3,07;12;0,72;6;0,36;13.06.1999;22:54:19;13.06.1999;22:54:19
40422;Mauerkirchen                  ;1 556;853;54,82;22;2,58;831;97,42;184;22,14;270;32,49;281;33,81;72;8,66;19;2,29;4;0,48;1;0,12;13.06.1999;23:05:34;13.06.1999;23:05:34
40423;Mining                        ;846;452;53,43;18;3,98;434;96,02;168;38,71;98;22,58;127;29,26;34;7,83;4;0,92;2;0,46;1;0,23;13.06.1999;22:49:25;13.06.1999;22:49:25
40424;Moosbach                      ;604;337;55,79;13;3,86;324;96,14;122;37,65;35;10,80;142;43,83;18;5,56;6;1,85;1;0,31;0;0,00;13.06.1999;22:38:08;13.06.1999;22:38:08
40425;Moosdorf                      ;997;451;45,24;14;3,10;437;96,90;119;27,23;189;43,25;96;21,97;24;5,49;2;0,46;7;1,60;0;0,00;13.06.1999;22:58:49;13.06.1999;22:58:49
40426;Munderfing                    ;1 894;1 050;55,44;49;4,67;1 001;95,33;365;36,46;298;29,77;230;22,98;83;8,29;12;1,20;9;0,90;4;0,40;13.06.1999;23:15:06;13.06.1999;23:15:06
40427;Neukirchen an der Enknach     ;1 555;784;50,42;20;2,55;764;97,45;251;32,85;188;24,61;232;30,37;70;9,16;5;0,65;14;1,83;4;0,52;13.06.1999;22:58:35;13.06.1999;22:58:35
40428;Ostermiething                 ;2 034;937;46,07;39;4,16;898;95,84;342;38,08;232;25,84;234;26,06;63;7,02;11;1,22;13;1,45;3;0,33;13.06.1999;23:06:25;13.06.1999;23:06:25
40429;Palting                       ;621;266;42,83;12;4,51;254;95,49;102;40,16;48;18,90;80;31,50;19;7,48;1;0,39;2;0,79;2;0,79;13.06.1999;23:04:36;13.06.1999;23:04:36
40430;Perwang am Grabensee          ;505;242;47,92;5;2,07;237;97,93;105;44,30;48;20,25;58;24,47;15;6,33;1;0,42;9;3,80;1;0,42;13.06.1999;22:37:34;13.06.1999;22:37:34
40431;Pfaffstätt                    ;626;366;58,47;13;3,55;353;96,45;114;32,29;84;23,80;119;33,71;26;7,37;7;1,98;0;0,00;3;0,85;13.06.1999;22:21:16;13.06.1999;22:21:16
40432;Pischelsdorf am Engelbach     ;1 197;560;46,78;20;3,57;540;96,43;249;46,11;90;16,67;169;31,30;21;3,89;4;0,74;4;0,74;3;0,56;13.06.1999;23:05:49;13.06.1999;23:05:49
40433;Polling im Innkreis           ;707;379;53,61;13;3,43;366;96,57;162;44,26;67;18,31;121;33,06;11;3,01;2;0,55;3;0,82;0;0,00;13.06.1999;22:41:49;13.06.1999;22:41:49
40434;Roßbach                       ;660;311;47,12;15;4,82;296;95,18;115;38,85;91;30,74;78;26,35;9;3,04;0;0,00;2;0,68;1;0,34;13.06.1999;22:26:00;13.06.1999;22:26:00
40435;St.Georgen am Fillmannsbach   ;288;165;57,29;3;1,82;162;98,18;41;25,31;20;12,35;95;58,64;2;1,23;2;1,23;2;1,23;0;0,00;13.06.1999;22:26:17;13.06.1999;22:26:17
40436;St.Johann am Walde            ;1 504;600;39,89;29;4,83;571;95,17;225;39,40;190;33,27;127;22,24;22;3,85;2;0,35;5;0,88;0;0,00;13.06.1999;23:14:48;13.06.1999;23:14:48
40437;St.Pantaleon                  ;2 163;1 107;51,18;41;3,70;1 066;96,30;235;22,05;433;40,62;297;27,86;60;5,63;10;0,94;26;2,44;5;0,47;13.06.1999;23:27:32;13.06.1999;23:27:32
40438;St.Peter am Hart              ;1 596;788;49,37;26;3,30;762;96,70;201;26,38;174;22,83;285;37,40;79;10,37;13;1,71;4;0,52;6;0,79;13.06.1999;22:54:43;13.06.1999;22:54:43
40439;St.Radegund                   ;426;254;59,62;11;4,33;243;95,67;170;69,96;23;9,47;34;13,99;11;4,53;4;1,65;1;0,41;0;0,00;13.06.1999;22:41:36;13.06.1999;22:41:36
40440;St.Veit im Innkreis           ;286;192;67,13;12;6,25;180;93,75;77;42,78;49;27,22;49;27,22;2;1,11;1;0,56;1;0,56;1;0,56;13.06.1999;22:30:26;13.06.1999;22:30:26
40441;Schalchen                     ;2 546;1 224;48,08;52;4,25;1 172;95,75;250;21,33;399;34,04;394;33,62;86;7,34;24;2,05;12;1,02;7;0,60;13.06.1999;23:33:47;13.06.1999;23:33:47
40442;Schwand im Innkreis           ;635;395;62,20;18;4,56;377;95,44;159;42,18;69;18,30;124;32,89;17;4,51;3;0,80;2;0,53;3;0,80;13.06.1999;23:19:26;13.06.1999;23:19:26
40443;Tarsdorf                      ;1 371;638;46,54;18;2,82;620;97,18;294;47,42;107;17,26;167;26,94;40;6,45;3;0,48;8;1,29;1;0,16;13.06.1999;22:58:17;13.06.1999;22:58:17
40444;Treubach                      ;527;346;65,65;14;4,05;332;95,95;155;46,69;30;9,04;131;39,46;7;2,11;3;0,90;5;1,51;1;0,30;13.06.1999;22:45:04;13.06.1999;22:45:04
40445;Überackern                    ;443;256;57,79;5;1,95;251;98,05;95;37,85;41;16,33;94;37,45;12;4,78;2;0,80;4;1,59;3;1,20;13.06.1999;22:40:57;13.06.1999;22:40:57
40446;Weng im Innkreis              ;1 023;545;53,27;17;3,12;528;96,88;168;31,82;133;25,19;192;36,36;26;4,92;4;0,76;3;0,57;2;0,38;13.06.1999;23:23:21;13.06.1999;23:23:21
40500;Bezirk Eferding                      ;22 253;12 852;57,75;449;3,49;12 403;96,51;4 378;35,30;3 664;29,54;3 141;25,32;883;7,12;158;1,27;137;1,10;42;0,34;13.06.1999;23:17:24;14.06.1999;9:16:32
40501;Alkoven                       ;3 783;2 158;57,04;64;2,97;2 094;97,03;514;24,55;834;39,83;536;25,60;152;7,26;29;1,38;20;0,96;9;0,43;13.06.1999;23:17:24;13.06.1999;23:17:24
40502;Aschach an der Donau          ;1 582;979;61,88;31;3,17;948;96,83;257;27,11;338;35,65;239;25,21;81;8,54;13;1,37;15;1,58;5;0,53;13.06.1999;22:53:20;13.06.1999;22:53:20
