 Europaparlamentswahl  1999 - Stimmen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;LIF;;CSA;;KPÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41229;Schildorn                     ;732;467;63,80;17;3,64;450;96,36;196;43,56;122;27,11;101;22,44;22;4,89;4;0,89;4;0,89;1;0,22;13.06.1999;22:39:38;13.06.1999;22:39:38
41230;Senftenbach                   ;495;297;60,00;10;3,37;287;96,63;118;41,11;59;20,56;82;28,57;20;6,97;1;0,35;7;2,44;0;0,00;13.06.1999;22:46:18;13.06.1999;22:46:18
41231;Taiskirchen im Innkreis       ;1 791;996;55,61;40;4,02;956;95,98;402;42,05;189;19,77;254;26,57;88;9,21;10;1,05;8;0,84;5;0,52;13.06.1999;22:51:43;13.06.1999;22:51:43
41232;Tumeltsham                    ;954;542;56,81;21;3,87;521;96,13;196;37,62;61;11,71;177;33,97;61;11,71;12;2,30;10;1,92;4;0,77;13.06.1999;22:47:35;13.06.1999;22:47:35
41233;Utzenaich                     ;1 042;594;57,01;19;3,20;575;96,80;196;34,09;123;21,39;196;34,09;42;7,30;4;0,70;8;1,39;6;1,04;13.06.1999;22:50:09;13.06.1999;22:50:09
41234;Waldzell                      ;1 532;734;47,91;27;3,68;707;96,32;259;36,63;210;29,70;182;25,74;38;5,37;12;1,70;5;0,71;1;0,14;13.06.1999;22:57:45;13.06.1999;22:57:45
41235;Weilbach                      ;458;311;67,90;22;7,07;289;92,93;139;48,10;36;12,46;89;30,80;20;6,92;4;1,38;0;0,00;1;0,35;13.06.1999;23:09:50;13.06.1999;23:09:50
41236;Wippenham                     ;414;298;71,98;20;6,71;278;93,29;113;40,65;80;28,78;58;20,86;21;7,55;0;0,00;3;1,08;3;1,08;13.06.1999;22:38:09;13.06.1999;22:38:09
41300;Bezirk Rohrbach                      ;41 739;26 181;62,73;1 038;3,96;25 143;96,04;12 867;51,18;5 330;21,20;4 743;18,86;1 511;6,01;253;1,01;343;1,36;96;0,38;13.06.1999;23:49:25;13.06.1999;23:49:25
41301;Afiesl                        ;298;201;67,45;6;2,99;195;97,01;97;49,74;61;31,28;26;13,33;8;4,10;2;1,03;1;0,51;0;0,00;13.06.1999;22:45:49;13.06.1999;22:45:49
41302;Ahorn                         ;382;259;67,80;5;1,93;254;98,07;116;45,67;44;17,32;57;22,44;25;9,84;11;4,33;0;0,00;1;0,39;13.06.1999;22:26:00;13.06.1999;22:26:00
41303;Aigen im Mühlkreis            ;1 391;845;60,75;22;2,60;823;97,40;330;40,10;202;24,54;211;25,64;53;6,44;16;1,94;10;1,22;1;0,12;13.06.1999;23:01:48;13.06.1999;23:01:48
41304;Altenfelden                   ;1 620;991;61,17;27;2,72;964;97,28;349;36,20;236;24,48;287;29,77;57;5,91;18;1,87;7;0,73;10;1,04;13.06.1999;23:25:16;13.06.1999;23:25:16
41305;Arnreit                       ;803;530;66,00;28;5,28;502;94,72;313;62,35;75;14,94;80;15,94;27;5,38;1;0,20;6;1,20;0;0,00;13.06.1999;23:07:41;13.06.1999;23:07:41
41306;Atzesberg                     ;349;251;71,92;15;5,98;236;94,02;157;66,53;18;7,63;47;19,92;11;4,66;1;0,42;2;0,85;0;0,00;13.06.1999;22:27:55;13.06.1999;22:27:55
41307;Auberg                        ;390;276;70,77;6;2,17;270;97,83;154;57,04;34;12,59;63;23,33;14;5,19;0;0,00;5;1,85;0;0,00;13.06.1999;22:24:56;13.06.1999;22:24:56
41308;Berg bei Rohrbach             ;1 963;1 219;62,10;81;6,64;1 138;93,36;517;45,43;225;19,77;240;21,09;116;10,19;14;1,23;16;1,41;10;0,88;13.06.1999;22:55:32;13.06.1999;22:55:32
41309;Haslach an der Mühl           ;2 014;1 358;67,43;56;4,12;1 302;95,88;463;35,56;505;38,79;167;12,83;118;9,06;14;1,08;28;2,15;7;0,54;13.06.1999;22:44:15;13.06.1999;22:44:15
41310;Helfenberg                    ;793;559;70,49;25;4,47;534;95,53;268;50,19;114;21,35;90;16,85;41;7,68;9;1,69;6;1,12;6;1,12;13.06.1999;23:04:49;13.06.1999;23:04:49
41311;Hörbich                       ;319;214;67,08;14;6,54;200;93,46;123;61,50;20;10,00;51;25,50;5;2,50;0;0,00;1;0,50;0;0,00;13.06.1999;22:59:28;13.06.1999;22:59:28
