Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41010;Kirchberg-Thening             ;1.907; 	1.070 ; 	56,11 ; 	25 ; 	2,34 ; 	1.045 ; 	97,66 ; 	396 ; 	37,89 ; 	212 ; 	20,29 ; 	136 ; 	13,01 ; 	127 ; 	12,15 ; 	130 ; 	12,44 ; 	6 ; 	0,57 ; 	6 ; 	0,57 ; 	32 ; 	3,06 ;6/7/09;6/7/09;6/7/09;6/7/09
41011;Kronstorf                     ;2.464; 	1.344 ; 	54,55 ; 	23 ; 	1,71 ; 	1.321 ; 	98,29 ; 	376 ; 	28,46 ; 	310 ; 	23,47 ; 	276 ; 	20,89 ; 	92 ; 	6,96 ; 	207 ; 	15,67 ; 	2 ; 	0,15 ; 	0 ; 	0 ; 	58 ; 	4,39 ;6/7/09;6/7/09;6/7/09;6/7/09
41012;Leonding                      ;18.982; 	9.501 ; 	50,05 ; 	173 ; 	1,82 ; 	9.328 ; 	98,18 ; 	2.626 ; 	28,15 ; 	2.246 ; 	24,08 ; 	1.734 ; 	18,59 ; 	989 ; 	10,60 ; 	1.218 ; 	13,06 ; 	63 ; 	0,68 ; 	50 ; 	0,54 ; 	402 ; 	4,31 ;6/7/09;6/7/09;6/7/09;6/7/09
41013;St.Florian                    ;4.769; 	2.704 ; 	56,70 ; 	96 ; 	3,55 ; 	2.608 ; 	96,45 ; 	618 ; 	23,70 ; 	874 ; 	33,51 ; 	458 ; 	17,56 ; 	236 ; 	9,05 ; 	275 ; 	10,54 ; 	17 ; 	0,65 ; 	14 ; 	0,54 ; 	116 ; 	4,45 ;6/7/09;6/7/09;6/7/09;6/7/09
41014;Neuhofen an der Krems         ;4.447; 	2.239 ; 	50,33 ; 	52 ; 	2,32 ; 	2.187 ; 	97,68 ; 	566 ; 	25,88 ; 	626 ; 	28,62 ; 	394 ; 	18,02 ; 	242 ; 	11,07 ; 	250 ; 	11,43 ; 	20 ; 	0,91 ; 	10 ; 	0,46 ; 	79 ; 	3,61 ;6/7/09;6/7/09;6/7/09;6/7/09
41015;Niederneukirchen              ;1.545; 	934 ; 	60,45 ; 	15 ; 	1,61 ; 	919 ; 	98,39 ; 	218 ; 	23,72 ; 	410 ; 	44,61 ; 	102 ; 	11,10 ; 	67 ; 	7,29 ; 	95 ; 	10,34 ; 	1 ; 	0,11 ; 	3 ; 	0,33 ; 	23 ; 	2,50 ;6/7/09;6/7/09;6/9/09;6/9/09
41016;Oftering                      ;1.572; 	885 ; 	56,30 ; 	25 ; 	2,82 ; 	860 ; 	97,18 ; 	282 ; 	32,79 ; 	231 ; 	26,86 ; 	149 ; 	17,33 ; 	58 ; 	6,74 ; 	119 ; 	13,84 ; 	4 ; 	0,47 ; 	1 ; 	0,12 ; 	16 ; 	1,86 ;6/7/09;6/7/09;6/7/09;6/7/09
41017;Pasching                      ;5.091; 	2.608 ; 	51,23 ; 	46 ; 	1,76 ; 	2.562 ; 	98,24 ; 	804 ; 	31,38 ; 	465 ; 	18,15 ; 	582 ; 	22,72 ; 	216 ; 	8,43 ; 	358 ; 	13,97 ; 	17 ; 	0,66 ; 	11 ; 	0,43 ; 	109 ; 	4,25 ;6/7/09;6/7/09;6/7/09;6/7/09
41018;Piberbach                     ;1.451; 	719 ; 	49,55 ; 	20 ; 	2,78 ; 	699 ; 	97,22 ; 	196 ; 	28,04 ; 	200 ; 	28,61 ; 	133 ; 	19,03 ; 	48 ; 	6,87 ; 	96 ; 	13,73 ; 	0 ; 	0 ; 	2 ; 	0,29 ; 	24 ; 	3,43 ;6/7/09;6/7/09;6/7/09;6/7/09
41019;Pucking                       ;2.971; 	1.480 ; 	49,81 ; 	20 ; 	1,35 ; 	1.460 ; 	98,65 ; 	327 ; 	22,40 ; 	316 ; 	21,64 ; 	347 ; 	23,77 ; 	95 ; 	6,51 ; 	279 ; 	19,11 ; 	11 ; 	0,75 ; 	8 ; 	0,55 ; 	77 ; 	5,27 ;6/7/09;6/7/09;6/7/09;6/7/09
41020;St.Marien                     ;3.685; 	1.878 ; 	50,96 ; 	43 ; 	2,29 ; 	1.835 ; 	97,71 ; 	463 ; 	25,23 ; 	628 ; 	34,22 ; 	338 ; 	18,42 ; 	131 ; 	7,14 ; 	195 ; 	10,63 ; 	5 ; 	0,27 ; 	7 ; 	0,38 ; 	68 ; 	3,71 ;6/7/09;6/7/09;6/7/09;6/7/09
41021;Traun                         ;16.884; 	7.639 ; 	45,24 ; 	162 ; 	2,12 ; 	7.477 ; 	97,88 ; 	2.460 ; 	32,90 ; 	1.131 ; 	15,13 ; 	1.772 ; 	23,70 ; 	544 ; 	7,28 ; 	1.203 ; 	16,09 ; 	45 ; 	0,60 ; 	41 ; 	0,55 ; 	281 ; 	3,76 ;6/7/09;6/7/09;6/7/09;6/7/09
41022;Wilhering                     ;4.462; 	2.444 ; 	54,77 ; 	69 ; 	2,82 ; 	2.375 ; 	97,18 ; 	606 ; 	25,52 ; 	780 ; 	32,84 ; 	422 ; 	17,77 ; 	247 ; 	10,40 ; 	226 ; 	9,52 ; 	14 ; 	0,59 ; 	11 ; 	0,46 ; 	69 ; 	2,91 ;6/7/09;6/7/09;6/7/09;6/7/09
41099;Wahlkarten Linz-Land                     ;0; 	3.645 ; 	0 ; 	42 ; 	1,15 ; 	3.603 ; 	98,85 ; 	921 ; 	25,56 ; 	1.154 ; 	32,03 ; 	625 ; 	17,35 ; 	414 ; 	11,49 ; 	333 ; 	9,24 ; 	14 ; 	0,39 ; 	33 ; 	0,92 ; 	109 ; 	3,03 ;6/9/09;6/9/09;6/15/09;6/15/09
41100;Bezirk Perg                          ;51.504; 	29.329 ; 	56,95 ; 	822 ; 	2,80 ; 	28.507 ; 	97,20 ; 	8.036 ; 	28,19 ; 	9.974 ; 	34,99 ; 	4.352 ; 	15,27 ; 	1.755 ; 	6,16 ; 	3.248 ; 	11,39 ; 	113 ; 	0,40 ; 	118 ; 	0,41 ; 	911 ; 	3,20 ;6/7/09;6/7/09;6/15/09;6/15/09
41101;Allerheiligen im Mühlkreis    ;950; 	520 ; 	54,74 ; 	14 ; 	2,69 ; 	506 ; 	97,31 ; 	126 ; 	24,90 ; 	213 ; 	42,09 ; 	67 ; 	13,24 ; 	24 ; 	4,74 ; 	46 ; 	9,09 ; 	6 ; 	1,19 ; 	5 ; 	0,99 ; 	19 ; 	3,75 ;6/7/09;6/7/09;6/7/09;6/7/09
41102;Arbing                        ;1.122; 	640 ; 	57,04 ; 	18 ; 	2,81 ; 	622 ; 	97,19 ; 	131 ; 	21,06 ; 	251 ; 	40,35 ; 	87 ; 	13,99 ; 	50 ; 	8,04 ; 	79 ; 	12,70 ; 	5 ; 	0,80 ; 	2 ; 	0,32 ; 	17 ; 	2,73 ;6/7/09;6/7/09;6/7/09;6/7/09
41103;Baumgartenberg                ;1.261; 	677 ; 	53,69 ; 	16 ; 	2,36 ; 	661 ; 	97,64 ; 	109 ; 	16,49 ; 	288 ; 	43,57 ; 	92 ; 	13,92 ; 	36 ; 	5,45 ; 	106 ; 	16,04 ; 	1 ; 	0,15 ; 	0 ; 	0 ; 	29 ; 	4,39 ;6/7/09;6/7/09;6/7/09;6/7/09
41104;Dimbach                       ;840; 	518 ; 	61,67 ; 	14 ; 	2,70 ; 	504 ; 	97,30 ; 	110 ; 	21,83 ; 	289 ; 	57,34 ; 	44 ; 	8,73 ; 	11 ; 	2,18 ; 	43 ; 	8,53 ; 	0 ; 	0 ; 	1 ; 	0,20 ; 	6 ; 	1,19 ;6/7/09;6/7/09;6/7/09;6/7/09
41105;Grein                         ;2.482; 	1.184 ; 	47,70 ; 	42 ; 	3,55 ; 	1.142 ; 	96,45 ; 	297 ; 	26,01 ; 	380 ; 	33,27 ; 	215 ; 	18,83 ; 	65 ; 	5,69 ; 	147 ; 	12,87 ; 	1 ; 	0,09 ; 	2 ; 	0,18 ; 	35 ; 	3,06 ;6/7/09;6/7/09;6/7/09;6/7/09
41106;Katsdorf                      ;2.251; 	1.220 ; 	54,20 ; 	36 ; 	2,95 ; 	1.184 ; 	97,05 ; 	372 ; 	31,42 ; 	344 ; 	29,05 ; 	190 ; 	16,05 ; 	94 ; 	7,94 ; 	134 ; 	11,32 ; 	5 ; 	0,42 ; 	4 ; 	0,34 ; 	41 ; 	3,46 ;6/7/09;6/7/09;6/7/09;6/7/09
41107;Klam                          ;695; 	329 ; 	47,34 ; 	8 ; 	2,43 ; 	321 ; 	97,57 ; 	59 ; 	18,38 ; 	131 ; 	40,81 ; 	56 ; 	17,45 ; 	4 ; 	1,25 ; 	54 ; 	16,82 ; 	2 ; 	0,62 ; 	2 ; 	0,62 ; 	13 ; 	4,05 ;6/7/09;6/7/09;6/7/09;6/7/09
41108;Bad Kreuzen                   ;1.776; 	907 ; 	51,07 ; 	27 ; 	2,98 ; 	880 ; 	97,02 ; 	75 ; 	8,52 ; 	564 ; 	64,09 ; 	88 ; 	10,00 ; 	23 ; 	2,61 ; 	94 ; 	10,68 ; 	3 ; 	0,34 ; 	2 ; 	0,23 ; 	31 ; 	3,52 ;6/7/09;6/7/09;6/7/09;6/7/09
41109;Langenstein                   ;2.017; 	1.081 ; 	53,59 ; 	32 ; 	2,96 ; 	1.049 ; 	97,04 ; 	435 ; 	41,47 ; 	173 ; 	16,49 ; 	211 ; 	20,11 ; 	50 ; 	4,77 ; 	142 ; 	13,54 ; 	10 ; 	0,95 ; 	7 ; 	0,67 ; 	21 ; 	2,00 ;6/7/09;6/7/09;6/7/09;6/7/09
41110;Luftenberg an der Donau       ;3.132; 	1.622 ; 	51,79 ; 	25 ; 	1,54 ; 	1.597 ; 	98,46 ; 	601 ; 	37,63 ; 	290 ; 	18,16 ; 	324 ; 	20,29 ; 	109 ; 	6,83 ; 	208 ; 	13,02 ; 	5 ; 	0,31 ; 	9 ; 	0,56 ; 	51 ; 	3,19 ;6/7/09;6/7/09;6/7/09;6/7/09
41111;Mauthausen                    ;3.682; 	2.063 ; 	56,03 ; 	52 ; 	2,52 ; 	2.011 ; 	97,48 ; 	821 ; 	40,83 ; 	450 ; 	22,38 ; 	308 ; 	15,32 ; 	137 ; 	6,81 ; 	225 ; 	11,19 ; 	7 ; 	0,35 ; 	9 ; 	0,45 ; 	54 ; 	2,69 ;6/7/09;6/7/09;6/7/09;6/7/09
41112;Mitterkirchen im Machland     ;1.373; 	748 ; 	54,48 ; 	14 ; 	1,87 ; 	734 ; 	98,13 ; 	184 ; 	25,07 ; 	329 ; 	44,82 ; 	111 ; 	15,12 ; 	14 ; 	1,91 ; 	75 ; 	10,22 ; 	0 ; 	0 ; 	2 ; 	0,27 ; 	19 ; 	2,59 ;6/7/09;6/7/09;6/7/09;6/7/09
41113;Münzbach                      ;1.315; 	728 ; 	55,36 ; 	30 ; 	4,12 ; 	698 ; 	95,88 ; 	88 ; 	12,61 ; 	355 ; 	50,86 ; 	94 ; 	13,47 ; 	22 ; 	3,15 ; 	94 ; 	13,47 ; 	0 ; 	0 ; 	2 ; 	0,29 ; 	43 ; 	6,16 ;6/7/09;6/7/09;6/7/09;6/7/09
41114;Naarn im Machlande            ;2.728; 	1.446 ; 	53,01 ; 	55 ; 	3,80 ; 	1.391 ; 	96,20 ; 	355 ; 	25,52 ; 	562 ; 	40,40 ; 	212 ; 	15,24 ; 	61 ; 	4,39 ; 	150 ; 	10,78 ; 	2 ; 	0,14 ; 	4 ; 	0,29 ; 	45 ; 	3,24 ;6/7/09;6/7/09;6/7/09;6/7/09
41115;Pabneukirchen                 ;1.353; 	746 ; 	55,14 ; 	17 ; 	2,28 ; 	729 ; 	97,72 ; 	129 ; 	17,70 ; 	386 ; 	52,95 ; 	81 ; 	11,11 ; 	27 ; 	3,70 ; 	83 ; 	11,39 ; 	0 ; 	0 ; 	4 ; 	0,55 ; 	19 ; 	2,61 ;6/7/09;6/7/09;6/7/09;6/7/09
41116;Perg                          ;5.805; 	3.100 ; 	53,40 ; 	94 ; 	3,03 ; 	3.006 ; 	96,97 ; 	782 ; 	26,01 ; 	1.017 ; 	33,83 ; 	477 ; 	15,87 ; 	216 ; 	7,19 ; 	360 ; 	11,98 ; 	12 ; 	0,40 ; 	16 ; 	0,53 ; 	126 ; 	4,19 ;6/7/09;6/7/09;6/7/09;6/7/09
41117;Rechberg                      ;717; 	450 ; 	62,76 ; 	12 ; 	2,67 ; 	438 ; 	97,33 ; 	63 ; 	14,38 ; 	290 ; 	66,21 ; 	43 ; 	9,82 ; 	18 ; 	4,11 ; 	17 ; 	3,88 ; 	0 ; 	0 ; 	1 ; 	0,23 ; 	6 ; 	1,37 ;6/7/09;6/7/09;6/7/09;6/7/09
41118;Ried in der Riedmark          ;3.227; 	1.790 ; 	55,47 ; 	43 ; 	2,40 ; 	1.747 ; 	97,60 ; 	605 ; 	34,63 ; 	553 ; 	31,65 ; 	252 ; 	14,42 ; 	120 ; 	6,87 ; 	150 ; 	8,59 ; 	5 ; 	0,29 ; 	8 ; 	0,46 ; 	54 ; 	3,09 ;6/7/09;6/7/09;6/7/09;6/7/09
41119;St.Georgen am Walde           ;1.727; 	851 ; 	49,28 ; 	35 ; 	4,11 ; 	816 ; 	95,89 ; 	263 ; 	32,23 ; 	312 ; 	38,24 ; 	108 ; 	13,24 ; 	33 ; 	4,04 ; 	77 ; 	9,44 ; 	1 ; 	0,12 ; 	1 ; 	0,12 ; 	21 ; 	2,57 ;6/7/09;6/7/09;6/7/09;6/7/09
41120;St.Georgen an der Gusen       ;2.967; 	1.681 ; 	56,66 ; 	54 ; 	3,21 ; 	1.627 ; 	96,79 ; 	618 ; 	37,98 ; 	372 ; 	22,86 ; 	262 ; 	16,10 ; 	142 ; 	8,73 ; 	155 ; 	9,53 ; 	14 ; 	0,86 ; 	11 ; 	0,68 ; 	53 ; 	3,26 ;6/7/09;6/7/09;6/7/09;6/7/09
41121;St.Nikola an der Donau        ;597; 	410 ; 	68,68 ; 	16 ; 	3,90 ; 	394 ; 	96,10 ; 	93 ; 	23,60 ; 	182 ; 	46,19 ; 	44 ; 	11,17 ; 	26 ; 	6,60 ; 	39 ; 	9,90 ; 	1 ; 	0,25 ; 	2 ; 	0,51 ; 	7 ; 	1,78 ;6/7/09;6/7/09;6/7/09;6/7/09
41122;St.Thomas am Blasenstein      ;698; 	406 ; 	58,17 ; 	11 ; 	2,71 ; 	395 ; 	97,29 ; 	59 ; 	14,94 ; 	254 ; 	64,30 ; 	31 ; 	7,85 ; 	8 ; 	2,03 ; 	27 ; 	6,84 ; 	1 ; 	0,25 ; 	1 ; 	0,25 ; 	14 ; 	3,54 ;6/7/09;6/7/09;6/7/09;6/7/09
41123;Saxen                         ;1.373; 	779 ; 	56,74 ; 	19 ; 	2,44 ; 	760 ; 	97,56 ; 	161 ; 	21,18 ; 	235 ; 	30,92 ; 	117 ; 	15,39 ; 	47 ; 	6,18 ; 	169 ; 	22,24 ; 	4 ; 	0,53 ; 	3 ; 	0,39 ; 	24 ; 	3,16 ;6/7/09;6/7/09;6/7/09;6/7/09
41124;Schwertberg                   ;4.026; 	2.098 ; 	52,11 ; 	59 ; 	2,81 ; 	2.039 ; 	97,19 ; 	708 ; 	34,72 ; 	442 ; 	21,68 ; 	375 ; 	18,39 ; 	146 ; 	7,16 ; 	288 ; 	14,12 ; 	10 ; 	0,49 ; 	7 ; 	0,34 ; 	63 ; 	3,09 ;6/7/09;6/7/09;6/7/09;6/7/09
41125;Waldhausen im Strudengau      ;2.309; 	1.355 ; 	58,68 ; 	39 ; 	2,88 ; 	1.316 ; 	97,12 ; 	373 ; 	28,34 ; 	541 ; 	41,11 ; 	161 ; 	12,23 ; 	69 ; 	5,24 ; 	126 ; 	9,57 ; 	2 ; 	0,15 ; 	3 ; 	0,23 ; 	41 ; 	3,12 ;6/7/09;6/7/09;6/7/09;6/7/09
41126;Windhaag bei Perg             ;1.081; 	634 ; 	58,65 ; 	27 ; 	4,26 ; 	607 ; 	95,74 ; 	94 ; 	15,49 ; 	295 ; 	48,60 ; 	101 ; 	16,64 ; 	22 ; 	3,62 ; 	66 ; 	10,87 ; 	6 ; 	0,99 ; 	2 ; 	0,33 ; 	21 ; 	3,46 ;6/7/09;6/7/09;6/7/09;6/7/09
41199;Wahlkarten Perg                          ;0; 	1.346 ; 	0 ; 	13 ; 	0,97 ; 	1.333 ; 	99,03 ; 	325 ; 	24,38 ; 	476 ; 	35,71 ; 	201 ; 	15,08 ; 	181 ; 	13,58 ; 	94 ; 	7,05 ; 	10 ; 	0,75 ; 	8 ; 	0,60 ; 	38 ; 	2,85 ;6/9/09;6/9/09;6/15/09;6/15/09
41200;Bezirk Ried im Innkreis              ;45.994; 	22.793 ; 	49,56 ; 	538 ; 	2,36 ; 	22.255 ; 	97,64 ; 	3.831 ; 	17,21 ; 	8.529 ; 	38,32 ; 	3.054 ; 	13,72 ; 	1.603 ; 	7,20 ; 	4.095 ; 	18,40 ; 	78 ; 	0,35 ; 	110 ; 	0,49 ; 	955 ; 	4,29 ;6/7/09;6/7/09;6/15/09;6/15/09
41201;Andrichsfurt                  ;565; 	269 ; 	47,61 ; 	10 ; 	3,72 ; 	259 ; 	96,28 ; 	16 ; 	6,18 ; 	150 ; 	57,92 ; 	21 ; 	8,11 ; 	7 ; 	2,70 ; 	52 ; 	20,08 ; 	2 ; 	0,77 ; 	0 ; 	0 ; 	11 ; 	4,25 ;6/7/09;6/7/09;6/7/09;6/7/09
41202;Antiesenhofen                 ;829; 	344 ; 	41,50 ; 	7 ; 	2,03 ; 	337 ; 	97,97 ; 	76 ; 	22,55 ; 	117 ; 	34,72 ; 	38 ; 	11,28 ; 	24 ; 	7,12 ; 	33 ; 	9,79 ; 	2 ; 	0,59 ; 	1 ; 	0,30 ; 	46 ; 	13,65 ;6/7/09;6/7/09;6/7/09;6/7/09
41203;Aurolzmünster                 ;2.332; 	873 ; 	37,44 ; 	19 ; 	2,18 ; 	854 ; 	97,82 ; 	179 ; 	20,96 ; 	208 ; 	24,36 ; 	149 ; 	17,45 ; 	33 ; 	3,86 ; 	232 ; 	27,17 ; 	4 ; 	0,47 ; 	3 ; 	0,35 ; 	46 ; 	5,39 ;6/7/09;6/7/09;6/7/09;6/7/09
41204;Eberschwang                   ;2.653; 	1.242 ; 	46,81 ; 	40 ; 	3,22 ; 	1.202 ; 	96,78 ; 	317 ; 	26,37 ; 	348 ; 	28,95 ; 	179 ; 	14,89 ; 	67 ; 	5,57 ; 	231 ; 	19,22 ; 	2 ; 	0,17 ; 	5 ; 	0,42 ; 	53 ; 	4,41 ;6/7/09;6/7/09;6/7/09;6/7/09
41205;Eitzing                       ;575; 	297 ; 	51,65 ; 	7 ; 	2,36 ; 	290 ; 	97,64 ; 	58 ; 	20,00 ; 	121 ; 	41,72 ; 	50 ; 	17,24 ; 	13 ; 	4,48 ; 	39 ; 	13,45 ; 	2 ; 	0,69 ; 	0 ; 	0 ; 	7 ; 	2,41 ;6/7/09;6/7/09;6/7/09;6/7/09
41206;Geiersberg                    ;440; 	222 ; 	50,45 ; 	4 ; 	1,80 ; 	218 ; 	98,20 ; 	34 ; 	15,60 ; 	98 ; 	44,95 ; 	27 ; 	12,39 ; 	13 ; 	5,96 ; 	30 ; 	13,76 ; 	1 ; 	0,46 ; 	2 ; 	0,92 ; 	13 ; 	5,96 ;6/7/09;6/7/09;6/7/09;6/7/09
41207;Geinberg                      ;1.046; 	475 ; 	45,41 ; 	13 ; 	2,74 ; 	462 ; 	97,26 ; 	56 ; 	12,12 ; 	174 ; 	37,66 ; 	54 ; 	11,69 ; 	21 ; 	4,55 ; 	132 ; 	28,57 ; 	1 ; 	0,22 ; 	3 ; 	0,65 ; 	21 ; 	4,55 ;6/7/09;6/7/09;6/7/09;6/7/09
41208;Gurten                        ;909; 	462 ; 	50,83 ; 	21 ; 	4,55 ; 	441 ; 	95,45 ; 	76 ; 	17,23 ; 	196 ; 	44,44 ; 	55 ; 	12,47 ; 	22 ; 	4,99 ; 	75 ; 	17,01 ; 	1 ; 	0,23 ; 	1 ; 	0,23 ; 	15 ; 	3,40 ;6/7/09;6/7/09;6/7/09;6/7/09
41209;Hohenzell                     ;1.627; 	835 ; 	51,32 ; 	22 ; 	2,63 ; 	813 ; 	97,37 ; 	94 ; 	11,56 ; 	381 ; 	46,86 ; 	134 ; 	16,48 ; 	67 ; 	8,24 ; 	97 ; 	11,93 ; 	0 ; 	0 ; 	3 ; 	0,37 ; 	37 ; 	4,55 ;6/7/09;6/7/09;6/7/09;6/7/09
41210;Kirchdorf am Inn              ;474; 	277 ; 	58,44 ; 	6 ; 	2,17 ; 	271 ; 	97,83 ; 	41 ; 	15,13 ; 	160 ; 	59,04 ; 	26 ; 	9,59 ; 	9 ; 	3,32 ; 	25 ; 	9,23 ; 	0 ; 	0 ; 	3 ; 	1,11 ; 	7 ; 	2,58 ;6/7/09;6/7/09;6/7/09;6/7/09
41211;Kirchheim im Innkreis         ;562; 	294 ; 	52,31 ; 	6 ; 	2,04 ; 	288 ; 	97,96 ; 	51 ; 	17,71 ; 	143 ; 	49,65 ; 	28 ; 	9,72 ; 	15 ; 	5,21 ; 	47 ; 	16,32 ; 	1 ; 	0,35 ; 	1 ; 	0,35 ; 	2 ; 	0,69 ;6/7/09;6/7/09;6/7/09;6/7/09
41212;Lambrechten                   ;1.037; 	535 ; 	51,59 ; 	13 ; 	2,43 ; 	522 ; 	97,57 ; 	52 ; 	9,96 ; 	258 ; 	49,43 ; 	56 ; 	10,73 ; 	16 ; 	3,07 ; 	127 ; 	24,33 ; 	1 ; 	0,19 ; 	1 ; 	0,19 ; 	11 ; 	2,11 ;6/7/09;6/7/09;6/7/09;6/7/09
41213;Lohnsburg am Kobernaußerwald  ;1.836; 	808 ; 	44,01 ; 	24 ; 	2,97 ; 	784 ; 	97,03 ; 	96 ; 	12,24 ; 	382 ; 	48,72 ; 	76 ; 	9,69 ; 	33 ; 	4,21 ; 	161 ; 	20,54 ; 	1 ; 	0,13 ; 	2 ; 	0,26 ; 	33 ; 	4,21 ;6/7/09;6/7/09;6/7/09;6/7/09
41214;Mehrnbach                     ;1.880; 	863 ; 	45,90 ; 	18 ; 	2,09 ; 	845 ; 	97,91 ; 	126 ; 	14,91 ; 	277 ; 	32,78 ; 	131 ; 	15,50 ; 	55 ; 	6,51 ; 	213 ; 	25,21 ; 	6 ; 	0,71 ; 	4 ; 	0,47 ; 	33 ; 	3,91 ;6/7/09;6/7/09;6/7/09;6/7/09
41215;Mettmach                      ;2.028; 	746 ; 	36,79 ; 	20 ; 	2,68 ; 	726 ; 	97,32 ; 	140 ; 	19,28 ; 	241 ; 	33,20 ; 	100 ; 	13,77 ; 	28 ; 	3,86 ; 	160 ; 	22,04 ; 	3 ; 	0,41 ; 	3 ; 	0,41 ; 	51 ; 	7,02 ;6/7/09;6/7/09;6/7/09;6/7/09
41216;Mörschwang                    ;247; 	143 ; 	57,89 ; 	4 ; 	2,80 ; 	139 ; 	97,20 ; 	4 ; 	2,88 ; 	84 ; 	60,43 ; 	15 ; 	10,79 ; 	11 ; 	7,91 ; 	16 ; 	11,51 ; 	0 ; 	0 ; 	0 ; 	0 ; 	9 ; 	6,47 ;6/7/09;6/7/09;6/7/09;6/7/09
41217;Mühlheim am Inn               ;514; 	232 ; 	45,14 ; 	2 ; 	0,86 ; 	230 ; 	99,14 ; 	61 ; 	26,52 ; 	69 ; 	30,00 ; 	37 ; 	16,09 ; 	12 ; 	5,22 ; 	34 ; 	14,78 ; 	0 ; 	0 ; 	4 ; 	1,74 ; 	13 ; 	5,65 ;6/7/09;6/7/09;6/7/09;6/7/09
41218;Neuhofen im Innkreis          ;1.760; 	885 ; 	50,28 ; 	22 ; 	2,49 ; 	863 ; 	97,51 ; 	164 ; 	19,00 ; 	291 ; 	33,72 ; 	128 ; 	14,83 ; 	99 ; 	11,47 ; 	130 ; 	15,06 ; 	4 ; 	0,46 ; 	10 ; 	1,16 ; 	37 ; 	4,29 ;6/7/09;6/7/09;6/7/09;6/7/09
41219;Obernberg am Inn              ;1.211; 	514 ; 	42,44 ; 	12 ; 	2,33 ; 	502 ; 	97,67 ; 	98 ; 	19,52 ; 	159 ; 	31,67 ; 	82 ; 	16,33 ; 	38 ; 	7,57 ; 	99 ; 	19,72 ; 	1 ; 	0,20 ; 	1 ; 	0,20 ; 	24 ; 	4,78 ;6/7/09;6/7/09;6/7/09;6/7/09
41220;Ort im Innkreis               ;913; 	457 ; 	50,05 ; 	13 ; 	2,84 ; 	444 ; 	97,16 ; 	64 ; 	14,41 ; 	160 ; 	36,04 ; 	67 ; 	15,09 ; 	30 ; 	6,76 ; 	99 ; 	22,30 ; 	0 ; 	0 ; 	3 ; 	0,68 ; 	21 ; 	4,73 ;6/7/09;6/7/09;6/7/09;6/7/09
41221;Pattigham                     ;706; 	336 ; 	47,59 ; 	7 ; 	2,08 ; 	329 ; 	97,92 ; 	37 ; 	11,25 ; 	158 ; 	48,02 ; 	38 ; 	11,55 ; 	20 ; 	6,08 ; 	61 ; 	18,54 ; 	1 ; 	0,30 ; 	1 ; 	0,30 ; 	13 ; 	3,95 ;6/7/09;6/7/09;6/7/09;6/7/09
41222;Peterskirchen                 ;569; 	304 ; 	53,43 ; 	4 ; 	1,32 ; 	300 ; 	98,68 ; 	18 ; 	6,00 ; 	191 ; 	63,67 ; 	29 ; 	9,67 ; 	9 ; 	3,00 ; 	38 ; 	12,67 ; 	2 ; 	0,67 ; 	2 ; 	0,67 ; 	11 ; 	3,67 ;6/7/09;6/7/09;6/7/09;6/7/09
41223;Pramet                        ;805; 	407 ; 	50,56 ; 	10 ; 	2,46 ; 	397 ; 	97,54 ; 	68 ; 	17,13 ; 	145 ; 	36,52 ; 	51 ; 	12,85 ; 	21 ; 	5,29 ; 	88 ; 	22,17 ; 	5 ; 	1,26 ; 	2 ; 	0,50 ; 	17 ; 	4,28 ;6/7/09;6/7/09;6/7/09;6/7/09
41224;Reichersberg                  ;1.090; 	484 ; 	44,40 ; 	14 ; 	2,89 ; 	470 ; 	97,11 ; 	64 ; 	13,62 ; 	203 ; 	43,19 ; 	77 ; 	16,38 ; 	30 ; 	6,38 ; 	75 ; 	15,96 ; 	0 ; 	0 ; 	2 ; 	0,43 ; 	19 ; 	4,04 ;6/7/09;6/7/09;6/7/09;6/7/09
41225;Ried im Innkreis              ;8.553; 	3.916 ; 	45,79 ; 	81 ; 	2,07 ; 	3.835 ; 	97,93 ; 	861 ; 	22,45 ; 	1.065 ; 	27,77 ; 	593 ; 	15,46 ; 	369 ; 	9,62 ; 	744 ; 	19,40 ; 	18 ; 	0,47 ; 	17 ; 	0,44 ; 	168 ; 	4,38 ;6/7/09;6/7/09;6/7/09;6/7/09
41226;St.Georgen b. Obernberg am Inn;468; 	280 ; 	59,83 ; 	8 ; 	2,86 ; 	272 ; 	97,14 ; 	18 ; 	6,62 ; 	175 ; 	64,34 ; 	26 ; 	9,56 ; 	25 ; 	9,19 ; 	24 ; 	8,82 ; 	1 ; 	0,37 ; 	0 ; 	0 ; 	3 ; 	1,10 ;6/7/09;6/7/09;6/7/09;6/7/09
