Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40426;Munderfing                    ;2.108; 	991 ; 	47,01 ; 	30 ; 	3,03 ; 	961 ; 	96,97 ; 	236 ; 	24,56 ; 	371 ; 	38,61 ; 	153 ; 	15,92 ; 	70 ; 	7,28 ; 	81 ; 	8,43 ; 	3 ; 	0,31 ; 	6 ; 	0,62 ; 	41 ; 	4,27 ;6/7/09;6/7/09;6/7/09;6/7/09
40427;Neukirchen an der Enknach     ;1.699; 	784 ; 	46,14 ; 	21 ; 	2,68 ; 	763 ; 	97,32 ; 	132 ; 	17,30 ; 	285 ; 	37,35 ; 	128 ; 	16,78 ; 	40 ; 	5,24 ; 	143 ; 	18,74 ; 	7 ; 	0,92 ; 	4 ; 	0,52 ; 	24 ; 	3,15 ;6/7/09;6/7/09;6/7/09;6/7/09
40428;Ostermiething                 ;2.388; 	948 ; 	39,70 ; 	20 ; 	2,11 ; 	928 ; 	97,89 ; 	167 ; 	18,00 ; 	338 ; 	36,42 ; 	167 ; 	18,00 ; 	53 ; 	5,71 ; 	139 ; 	14,98 ; 	5 ; 	0,54 ; 	11 ; 	1,19 ; 	48 ; 	5,17 ;6/7/09;6/7/09;6/7/09;6/7/09
40429;Palting                       ;731; 	309 ; 	42,27 ; 	8 ; 	2,59 ; 	301 ; 	97,41 ; 	30 ; 	9,97 ; 	135 ; 	44,85 ; 	68 ; 	22,59 ; 	14 ; 	4,65 ; 	35 ; 	11,63 ; 	1 ; 	0,33 ; 	0 ; 	0 ; 	18 ; 	5,98 ;6/7/09;6/7/09;6/7/09;6/7/09
40430;Perwang am Grabensee          ;635; 	265 ; 	41,73 ; 	3 ; 	1,13 ; 	262 ; 	98,87 ; 	31 ; 	11,83 ; 	100 ; 	38,17 ; 	51 ; 	19,47 ; 	21 ; 	8,02 ; 	43 ; 	16,41 ; 	1 ; 	0,38 ; 	2 ; 	0,76 ; 	13 ; 	4,96 ;6/7/09;6/7/09;6/7/09;6/7/09
40431;Pfaffstätt                    ;745; 	308 ; 	41,34 ; 	6 ; 	1,95 ; 	302 ; 	98,05 ; 	65 ; 	21,52 ; 	92 ; 	30,46 ; 	54 ; 	17,88 ; 	21 ; 	6,95 ; 	43 ; 	14,24 ; 	3 ; 	0,99 ; 	1 ; 	0,33 ; 	23 ; 	7,62 ;6/7/09;6/7/09;6/7/09;6/7/09
40432;Pischelsdorf am Engelbach     ;1.268; 	572 ; 	45,11 ; 	19 ; 	3,32 ; 	553 ; 	96,68 ; 	59 ; 	10,67 ; 	258 ; 	46,65 ; 	67 ; 	12,12 ; 	15 ; 	2,71 ; 	108 ; 	19,53 ; 	3 ; 	0,54 ; 	3 ; 	0,54 ; 	40 ; 	7,23 ;6/7/09;6/7/09;6/7/09;6/7/09
40433;Polling im Innkreis           ;739; 	362 ; 	48,99 ; 	6 ; 	1,66 ; 	356 ; 	98,34 ; 	61 ; 	17,13 ; 	165 ; 	46,35 ; 	48 ; 	13,48 ; 	10 ; 	2,81 ; 	60 ; 	16,85 ; 	2 ; 	0,56 ; 	2 ; 	0,56 ; 	8 ; 	2,25 ;6/7/09;6/7/09;6/7/09;6/7/09
40434;Roßbach                       ;783; 	360 ; 	45,98 ; 	18 ; 	5,00 ; 	342 ; 	95,00 ; 	63 ; 	18,42 ; 	140 ; 	40,94 ; 	43 ; 	12,57 ; 	11 ; 	3,22 ; 	70 ; 	20,47 ; 	0 ; 	0 ; 	0 ; 	0 ; 	15 ; 	4,39 ;6/7/09;6/7/09;6/7/09;6/7/09
40435;St.Georgen am Fillmannsbach   ;321; 	146 ; 	45,48 ; 	6 ; 	4,11 ; 	140 ; 	95,89 ; 	11 ; 	7,86 ; 	57 ; 	40,71 ; 	14 ; 	10,00 ; 	3 ; 	2,14 ; 	50 ; 	35,71 ; 	0 ; 	0 ; 	0 ; 	0 ; 	5 ; 	3,57 ;6/7/09;6/7/09;6/7/09;6/7/09
40436;St.Johann am Walde            ;1.707; 	599 ; 	35,09 ; 	21 ; 	3,51 ; 	578 ; 	96,49 ; 	146 ; 	25,26 ; 	220 ; 	38,06 ; 	87 ; 	15,05 ; 	30 ; 	5,19 ; 	69 ; 	11,94 ; 	0 ; 	0 ; 	3 ; 	0,52 ; 	23 ; 	3,98 ;6/7/09;6/7/09;6/7/09;6/7/09
40437;St.Pantaleon                  ;2.343; 	959 ; 	40,93 ; 	28 ; 	2,92 ; 	931 ; 	97,08 ; 	242 ; 	25,99 ; 	215 ; 	23,09 ; 	224 ; 	24,06 ; 	70 ; 	7,52 ; 	120 ; 	12,89 ; 	14 ; 	1,50 ; 	4 ; 	0,43 ; 	42 ; 	4,51 ;6/7/09;6/7/09;6/7/09;6/7/09
40438;St.Peter am Hart              ;1.854; 	756 ; 	40,78 ; 	24 ; 	3,17 ; 	732 ; 	96,83 ; 	145 ; 	19,81 ; 	244 ; 	33,33 ; 	136 ; 	18,58 ; 	47 ; 	6,42 ; 	111 ; 	15,16 ; 	1 ; 	0,14 ; 	1 ; 	0,14 ; 	47 ; 	6,42 ;6/7/09;6/7/09;6/7/09;6/7/09
40439;St.Radegund                   ;471; 	248 ; 	52,65 ; 	11 ; 	4,44 ; 	237 ; 	95,56 ; 	13 ; 	5,49 ; 	169 ; 	71,31 ; 	19 ; 	8,02 ; 	20 ; 	8,44 ; 	11 ; 	4,64 ; 	0 ; 	0 ; 	1 ; 	0,42 ; 	4 ; 	1,69 ;6/7/09;6/7/09;6/7/09;6/7/09
40440;St.Veit im Innkreis           ;333; 	202 ; 	60,66 ; 	6 ; 	2,97 ; 	196 ; 	97,03 ; 	42 ; 	21,43 ; 	70 ; 	35,71 ; 	20 ; 	10,20 ; 	6 ; 	3,06 ; 	39 ; 	19,90 ; 	0 ; 	0 ; 	1 ; 	0,51 ; 	18 ; 	9,18 ;6/7/09;6/7/09;6/7/09;6/7/09
40441;Schalchen                     ;2.860; 	1.169 ; 	40,87 ; 	38 ; 	3,25 ; 	1.131 ; 	96,75 ; 	303 ; 	26,79 ; 	244 ; 	21,57 ; 	281 ; 	24,85 ; 	78 ; 	6,90 ; 	145 ; 	12,82 ; 	4 ; 	0,35 ; 	5 ; 	0,44 ; 	71 ; 	6,28 ;6/7/09;6/7/09;6/7/09;6/7/09
40442;Schwand im Innkreis           ;699; 	318 ; 	45,49 ; 	9 ; 	2,83 ; 	309 ; 	97,17 ; 	40 ; 	12,94 ; 	150 ; 	48,54 ; 	48 ; 	15,53 ; 	12 ; 	3,88 ; 	43 ; 	13,92 ; 	1 ; 	0,32 ; 	3 ; 	0,97 ; 	12 ; 	3,88 ;6/7/09;6/7/09;6/7/09;6/7/09
40443;Tarsdorf                      ;1.586; 	613 ; 	38,65 ; 	15 ; 	2,45 ; 	598 ; 	97,55 ; 	71 ; 	11,87 ; 	257 ; 	42,98 ; 	87 ; 	14,55 ; 	40 ; 	6,69 ; 	99 ; 	16,56 ; 	1 ; 	0,17 ; 	9 ; 	1,51 ; 	34 ; 	5,69 ;6/7/09;6/7/09;6/7/09;6/7/09
40444;Treubach                      ;592; 	317 ; 	53,55 ; 	9 ; 	2,84 ; 	308 ; 	97,16 ; 	22 ; 	7,14 ; 	158 ; 	51,30 ; 	37 ; 	12,01 ; 	6 ; 	1,95 ; 	63 ; 	20,45 ; 	1 ; 	0,32 ; 	0 ; 	0 ; 	21 ; 	6,82 ;6/7/09;6/7/09;6/7/09;6/7/09
40445;Überackern                    ;451; 	219 ; 	48,56 ; 	4 ; 	1,83 ; 	215 ; 	98,17 ; 	45 ; 	20,93 ; 	92 ; 	42,79 ; 	28 ; 	13,02 ; 	3 ; 	1,40 ; 	43 ; 	20,00 ; 	0 ; 	0 ; 	0 ; 	0 ; 	4 ; 	1,86 ;6/7/09;6/7/09;6/7/09;6/7/09
40446;Weng im Innkreis              ;1.132; 	527 ; 	46,55 ; 	11 ; 	2,09 ; 	516 ; 	97,91 ; 	79 ; 	15,31 ; 	205 ; 	39,73 ; 	81 ; 	15,70 ; 	11 ; 	2,13 ; 	111 ; 	21,51 ; 	1 ; 	0,19 ; 	1 ; 	0,19 ; 	27 ; 	5,23 ;6/7/09;6/7/09;6/7/09;6/7/09
