Europawahl 2014 - Stimmen;;;;;;;Stand:;41785,6680579051;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;leer;;FPÖ;;GRÜNE;;BZÖ;;NEOS;;REKOS;;ANDERS;;EUSTOP;;WANDL;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40823;Rottenbach                    ;823; 	390 ; 	47,39 ; 	21 ; 	5,38 ; 	369 ; 	94,62 ; 	120 ; 	32,52 ; 	70 ; 	18,97 ; 	0 ; 	0 ; 	109 ; 	29,54 ; 	27 ; 	7,32 ; 	3 ; 	0,81 ; 	18 ; 	4,88 ; 	4 ; 	1,08 ; 	7 ; 	1,90 ; 	11 ; 	2,98 ; 	0 ; 	0 ;41784,5747070255;41784,5747070255;41784,5747070255;41784,5747070255
40824;St.Agatha                     ;1.728; 	693 ; 	40,10 ; 	39 ; 	5,63 ; 	654 ; 	94,37 ; 	299 ; 	45,72 ; 	103 ; 	15,75 ; 	0 ; 	0 ; 	124 ; 	18,96 ; 	52 ; 	7,95 ; 	2 ; 	0,31 ; 	44 ; 	6,73 ; 	11 ; 	1,68 ; 	7 ; 	1,07 ; 	12 ; 	1,83 ; 	0 ; 	0 ;41784,5801265046;41784,5801265046;41784,5801265046;41784,5801265046
40825;St.Georgen bei Grieskirchen   ;1.010; 	482 ; 	47,72 ; 	37 ; 	7,68 ; 	445 ; 	92,32 ; 	139 ; 	31,24 ; 	80 ; 	17,98 ; 	0 ; 	0 ; 	102 ; 	22,92 ; 	56 ; 	12,58 ; 	1 ; 	0,22 ; 	47 ; 	10,56 ; 	7 ; 	1,57 ; 	3 ; 	0,67 ; 	10 ; 	2,25 ; 	0 ; 	0 ;41784,560553669;41784,560553669;41784,560553669;41784,560553669
40826;St.Thomas                     ;412; 	215 ; 	52,18 ; 	13 ; 	6,05 ; 	202 ; 	93,95 ; 	89 ; 	44,06 ; 	19 ; 	9,41 ; 	0 ; 	0 ; 	49 ; 	24,26 ; 	24 ; 	11,88 ; 	0 ; 	0 ; 	12 ; 	5,94 ; 	2 ; 	0,99 ; 	2 ; 	0,99 ; 	5 ; 	2,48 ; 	0 ; 	0 ;41784,5187956018;41784,5187956018;41784,5187956018;41784,5187956018
40827;Schlüßlberg                   ;2.387; 	1.050 ; 	43,99 ; 	35 ; 	3,33 ; 	1.015 ; 	96,67 ; 	218 ; 	21,48 ; 	337 ; 	33,20 ; 	0 ; 	0 ; 	253 ; 	24,93 ; 	110 ; 	10,84 ; 	3 ; 	0,30 ; 	51 ; 	5,02 ; 	9 ; 	0,89 ; 	16 ; 	1,58 ; 	18 ; 	1,77 ; 	0 ; 	0 ;41784,619944294;41784,619944294;41784,619944294;41784,619944294
40828;Steegen                       ;906; 	340 ; 	37,53 ; 	19 ; 	5,59 ; 	321 ; 	94,41 ; 	146 ; 	45,48 ; 	47 ; 	14,64 ; 	0 ; 	0 ; 	64 ; 	19,94 ; 	36 ; 	11,21 ; 	0 ; 	0 ; 	18 ; 	5,61 ; 	2 ; 	0,62 ; 	1 ; 	0,31 ; 	7 ; 	2,18 ; 	0 ; 	0 ;41784,6160321759;41784,6160321759;41784,6160321759;41784,6160321759
40829;Taufkirchen an der Trattnach  ;1.640; 	697 ; 	42,50 ; 	26 ; 	3,73 ; 	671 ; 	96,27 ; 	223 ; 	33,23 ; 	126 ; 	18,78 ; 	0 ; 	0 ; 	174 ; 	25,93 ; 	64 ; 	9,54 ; 	1 ; 	0,15 ; 	43 ; 	6,41 ; 	8 ; 	1,19 ; 	9 ; 	1,34 ; 	23 ; 	3,43 ; 	0 ; 	0 ;41784,6162628125;41784,6162628125;41784,6162628125;41784,6162628125
40830;Tollet                        ;719; 	377 ; 	52,43 ; 	19 ; 	5,04 ; 	358 ; 	94,96 ; 	127 ; 	35,47 ; 	77 ; 	21,51 ; 	0 ; 	0 ; 	67 ; 	18,72 ; 	49 ; 	13,69 ; 	0 ; 	0 ; 	23 ; 	6,42 ; 	5 ; 	1,40 ; 	4 ; 	1,12 ; 	6 ; 	1,68 ; 	0 ; 	0 ;41784,575030706;41784,575030706;41784,575030706;41784,575030706
40831;Waizenkirchen                 ;2.906; 	1.311 ; 	45,11 ; 	47 ; 	3,59 ; 	1.264 ; 	96,41 ; 	507 ; 	40,11 ; 	161 ; 	12,74 ; 	0 ; 	0 ; 	279 ; 	22,07 ; 	146 ; 	11,55 ; 	4 ; 	0,32 ; 	98 ; 	7,75 ; 	17 ; 	1,34 ; 	21 ; 	1,66 ; 	31 ; 	2,45 ; 	0 ; 	0 ;41784,6163699074;41784,6163699074;41784,6163699074;41784,6163699074
40832;Wallern an der Trattnach      ;2.387; 	1.075 ; 	45,04 ; 	35 ; 	3,26 ; 	1.040 ; 	96,74 ; 	267 ; 	25,67 ; 	255 ; 	24,52 ; 	0 ; 	0 ; 	292 ; 	28,08 ; 	107 ; 	10,29 ; 	6 ; 	0,58 ; 	76 ; 	7,31 ; 	9 ; 	0,87 ; 	13 ; 	1,25 ; 	15 ; 	1,44 ; 	0 ; 	0 ;41784,7031081019;41784,7031081019;41784,7031081019;41784,7031081019
40833;Weibern                       ;1.296; 	531 ; 	40,97 ; 	21 ; 	3,95 ; 	510 ; 	96,05 ; 	194 ; 	38,04 ; 	77 ; 	15,10 ; 	0 ; 	0 ; 	96 ; 	18,82 ; 	84 ; 	16,47 ; 	1 ; 	0,20 ; 	34 ; 	6,67 ; 	10 ; 	1,96 ; 	6 ; 	1,18 ; 	8 ; 	1,57 ; 	0 ; 	0 ;41784,5493824074;41784,5493824074;41784,5493824074;41784,5493824074
40834;Wendling                      ;640; 	316 ; 	49,38 ; 	12 ; 	3,80 ; 	304 ; 	96,20 ; 	129 ; 	42,43 ; 	25 ; 	8,22 ; 	0 ; 	0 ; 	97 ; 	31,91 ; 	28 ; 	9,21 ; 	1 ; 	0,33 ; 	13 ; 	4,28 ; 	2 ; 	0,66 ; 	5 ; 	1,64 ; 	4 ; 	1,32 ; 	0 ; 	0 ;41784,5189825232;41784,5189825232;41784,5189825232;41784,5189825232
40899;Wahlkarten Grieskirchen                  ;0; 	2.603 ; 	0 ; 	82 ; 	3,15 ; 	2.521 ; 	96,85 ; 	787 ; 	31,22 ; 	437 ; 	17,33 ; 	0 ; 	0 ; 	420 ; 	16,66 ; 	442 ; 	17,53 ; 	6 ; 	0,24 ; 	260 ; 	10,31 ; 	38 ; 	1,51 ; 	47 ; 	1,86 ; 	84 ; 	3,33 ; 	0 ; 	0 ;41785,582625463;41785,582625463;41785,582625463;41785,582625463
40900;Bezirk Kirchdorf an der Krems        ;43.324; 	20.891 ; 	48,22 ; 	806 ; 	3,86 ; 	20.085 ; 	96,14 ; 	6.059 ; 	30,17 ; 	4.716 ; 	23,48 ; 	0 ; 	0 ; 	4.130 ; 	20,56 ; 	2.505 ; 	12,47 ; 	77 ; 	0,38 ; 	1.452 ; 	7,23 ; 	288 ; 	1,43 ; 	313 ; 	1,56 ; 	545 ; 	2,71 ; 	0 ; 	0 ;41784,7111085648;41784,7111085648;41785,5160927083;41785,5160927083
40901;Edlbach                       ;533; 	268 ; 	50,28 ; 	10 ; 	3,73 ; 	258 ; 	96,27 ; 	110 ; 	42,64 ; 	46 ; 	17,83 ; 	0 ; 	0 ; 	46 ; 	17,83 ; 	15 ; 	5,81 ; 	0 ; 	0 ; 	25 ; 	9,69 ; 	8 ; 	3,10 ; 	2 ; 	0,78 ; 	6 ; 	2,33 ; 	0 ; 	0 ;41784,6285099537;41784,6285099537;41784,7908577546;41784,7908577546
40902;Grünburg                      ;2.887; 	1.121 ; 	38,83 ; 	58 ; 	5,17 ; 	1.063 ; 	94,83 ; 	281 ; 	26,43 ; 	277 ; 	26,06 ; 	0 ; 	0 ; 	251 ; 	23,61 ; 	100 ; 	9,41 ; 	8 ; 	0,75 ; 	69 ; 	6,49 ; 	31 ; 	2,92 ; 	15 ; 	1,41 ; 	31 ; 	2,92 ; 	0 ; 	0 ;41784,6618396991;41784,6618396991;41784,6618396991;41784,6618396991
40903;Hinterstoder                  ;755; 	304 ; 	40,26 ; 	11 ; 	3,62 ; 	293 ; 	96,38 ; 	120 ; 	40,96 ; 	48 ; 	16,38 ; 	0 ; 	0 ; 	72 ; 	24,57 ; 	25 ; 	8,53 ; 	1 ; 	0,34 ; 	18 ; 	6,14 ; 	3 ; 	1,02 ; 	3 ; 	1,02 ; 	3 ; 	1,02 ; 	0 ; 	0 ;41784,6112510417;41784,6112510417;41784,6112510417;41784,6112510417
40904;Inzersdorf im Kremstal        ;1.547; 	697 ; 	45,05 ; 	37 ; 	5,31 ; 	660 ; 	94,69 ; 	249 ; 	37,73 ; 	107 ; 	16,21 ; 	0 ; 	0 ; 	130 ; 	19,70 ; 	94 ; 	14,24 ; 	1 ; 	0,15 ; 	40 ; 	6,06 ; 	11 ; 	1,67 ; 	13 ; 	1,97 ; 	15 ; 	2,27 ; 	0 ; 	0 ;41784,5988993403;41784,5988993403;41784,5988993403;41784,5988993403
40905;Kirchdorf an der Krems        ;3.138; 	1.329 ; 	42,35 ; 	48 ; 	3,61 ; 	1.281 ; 	96,39 ; 	281 ; 	21,94 ; 	396 ; 	30,91 ; 	0 ; 	0 ; 	225 ; 	17,56 ; 	225 ; 	17,56 ; 	5 ; 	0,39 ; 	89 ; 	6,95 ; 	7 ; 	0,55 ; 	24 ; 	1,87 ; 	29 ; 	2,26 ; 	0 ; 	0 ;41784,7111085301;41784,7111085301;41784,721491169;41784,721491169
40906;Klaus an der Pyhrnbahn        ;864; 	416 ; 	48,15 ; 	14 ; 	3,37 ; 	402 ; 	96,63 ; 	65 ; 	16,17 ; 	190 ; 	47,26 ; 	0 ; 	0 ; 	79 ; 	19,65 ; 	27 ; 	6,72 ; 	1 ; 	0,25 ; 	21 ; 	5,22 ; 	5 ; 	1,24 ; 	6 ; 	1,49 ; 	8 ; 	1,99 ; 	0 ; 	0 ;41784,5727484954;41784,5727484954;41784,5734632755;41784,5734632755
40907;Kremsmünster                  ;4.710; 	2.007 ; 	42,61 ; 	84 ; 	4,19 ; 	1.923 ; 	95,81 ; 	622 ; 	32,35 ; 	365 ; 	18,98 ; 	0 ; 	0 ; 	397 ; 	20,64 ; 	279 ; 	14,51 ; 	9 ; 	0,47 ; 	152 ; 	7,90 ; 	15 ; 	0,78 ; 	33 ; 	1,72 ; 	51 ; 	2,65 ; 	0 ; 	0 ;41784,6747729977;41784,6747729977;41784,6747729977;41784,6747729977
40908;Micheldorf in Oberösterreich  ;4.506; 	1.838 ; 	40,79 ; 	57 ; 	3,10 ; 	1.781 ; 	96,90 ; 	388 ; 	21,79 ; 	552 ; 	30,99 ; 	0 ; 	0 ; 	349 ; 	19,60 ; 	254 ; 	14,26 ; 	3 ; 	0,17 ; 	129 ; 	7,24 ; 	28 ; 	1,57 ; 	23 ; 	1,29 ; 	55 ; 	3,09 ; 	0 ; 	0 ;41784,6793829051;41784,6793829051;41784,6793829051;41784,6793829051
40909;Molln                         ;2.784; 	1.247 ; 	44,79 ; 	41 ; 	3,29 ; 	1.206 ; 	96,71 ; 	287 ; 	23,80 ; 	338 ; 	28,03 ; 	0 ; 	0 ; 	271 ; 	22,47 ; 	150 ; 	12,44 ; 	3 ; 	0,25 ; 	73 ; 	6,05 ; 	33 ; 	2,74 ; 	21 ; 	1,74 ; 	30 ; 	2,49 ; 	0 ; 	0 ;41784,6569335648;41784,6569335648;41784,6569335648;41784,6569335648
40910;Nußbach                       ;1.810; 	881 ; 	48,67 ; 	42 ; 	4,77 ; 	839 ; 	95,23 ; 	378 ; 	45,05 ; 	158 ; 	18,83 ; 	0 ; 	0 ; 	102 ; 	12,16 ; 	105 ; 	12,51 ; 	3 ; 	0,36 ; 	61 ; 	7,27 ; 	7 ; 	0,83 ; 	10 ; 	1,19 ; 	15 ; 	1,79 ; 	0 ; 	0 ;41784,6567003819;41784,6567003819;41784,6567003819;41784,6567003819
40911;Oberschlierbach               ;376; 	200 ; 	53,19 ; 	8 ; 	4,00 ; 	192 ; 	96,00 ; 	78 ; 	40,63 ; 	44 ; 	22,92 ; 	0 ; 	0 ; 	24 ; 	12,50 ; 	29 ; 	15,10 ; 	1 ; 	0,52 ; 	10 ; 	5,21 ; 	5 ; 	2,60 ; 	0 ; 	0 ; 	1 ; 	0,52 ; 	0 ; 	0 ;41784,5395486111;41784,5395486111;41784,5395486111;41784,5395486111
40912;Pettenbach                    ;3.893; 	1.739 ; 	44,67 ; 	85 ; 	4,89 ; 	1.654 ; 	95,11 ; 	458 ; 	27,69 ; 	324 ; 	19,59 ; 	0 ; 	0 ; 	425 ; 	25,70 ; 	216 ; 	13,06 ; 	8 ; 	0,48 ; 	127 ; 	7,68 ; 	16 ; 	0,97 ; 	35 ; 	2,12 ; 	45 ; 	2,72 ; 	0 ; 	0 ;41784,6610631597;41784,6610631597;41784,6610631597;41784,6610631597
40913;Ried im Traunkreis            ;2.090; 	944 ; 	45,17 ; 	27 ; 	2,86 ; 	917 ; 	97,14 ; 	350 ; 	38,17 ; 	124 ; 	13,52 ; 	0 ; 	0 ; 	231 ; 	25,19 ; 	90 ; 	9,81 ; 	7 ; 	0,76 ; 	57 ; 	6,22 ; 	16 ; 	1,74 ; 	16 ; 	1,74 ; 	26 ; 	2,84 ; 	0 ; 	0 ;41784,6126553588;41784,6126553588;41784,6203523958;41784,6203523958
40914;Rosenau am Hengstpaß          ;531; 	231 ; 	43,50 ; 	5 ; 	2,16 ; 	226 ; 	97,84 ; 	54 ; 	23,89 ; 	85 ; 	37,61 ; 	0 ; 	0 ; 	57 ; 	25,22 ; 	11 ; 	4,87 ; 	2 ; 	0,88 ; 	12 ; 	5,31 ; 	4 ; 	1,77 ; 	1 ; 	0,44 ; 	0 ; 	0 ; 	0 ; 	0 ;41784,5711658912;41784,5711658912;41784,5711658912;41784,5711658912
40915;Roßleithen                    ;1.496; 	640 ; 	42,78 ; 	13 ; 	2,03 ; 	627 ; 	97,97 ; 	207 ; 	33,01 ; 	200 ; 	31,90 ; 	0 ; 	0 ; 	114 ; 	18,18 ; 	53 ; 	8,45 ; 	1 ; 	0,16 ; 	26 ; 	4,15 ; 	8 ; 	1,28 ; 	4 ; 	0,64 ; 	14 ; 	2,23 ; 	0 ; 	0 ;41784,7097574884;41784,7097574884;41784,7591996875;41784,7591996875
40916;St.Pankraz                    ;269; 	129 ; 	47,96 ; 	3 ; 	2,33 ; 	126 ; 	97,67 ; 	26 ; 	20,63 ; 	41 ; 	32,54 ; 	0 ; 	0 ; 	49 ; 	38,89 ; 	3 ; 	2,38 ; 	2 ; 	1,59 ; 	5 ; 	3,97 ; 	0 ; 	0 ; 	0 ; 	0 ; 	0 ; 	0 ; 	0 ; 	0 ;41784,4965209143;41784,4965209143;41784,4965209143;41784,4965209143
40917;Schlierbach                   ;2.194; 	976 ; 	44,48 ; 	21 ; 	2,15 ; 	955 ; 	97,85 ; 	261 ; 	27,33 ; 	179 ; 	18,74 ; 	0 ; 	0 ; 	197 ; 	20,63 ; 	152 ; 	15,92 ; 	4 ; 	0,42 ; 	88 ; 	9,21 ; 	29 ; 	3,04 ; 	15 ; 	1,57 ; 	30 ; 	3,14 ; 	0 ; 	0 ;41784,5543658218;41784,5543658218;41784,5543658218;41784,5543658218
40918;Spital am Pyhrn               ;1.731; 	637 ; 	36,80 ; 	19 ; 	2,98 ; 	618 ; 	97,02 ; 	175 ; 	28,32 ; 	197 ; 	31,88 ; 	0 ; 	0 ; 	150 ; 	24,27 ; 	40 ; 	6,47 ; 	0 ; 	0 ; 	27 ; 	4,37 ; 	7 ; 	1,13 ; 	7 ; 	1,13 ; 	15 ; 	2,43 ; 	0 ; 	0 ;41784,6906871528;41784,6906871528;41784,6906871528;41784,6906871528
40919;Steinbach am Ziehberg         ;676; 	302 ; 	44,67 ; 	14 ; 	4,64 ; 	288 ; 	95,36 ; 	98 ; 	34,03 ; 	49 ; 	17,01 ; 	0 ; 	0 ; 	62 ; 	21,53 ; 	36 ; 	12,50 ; 	1 ; 	0,35 ; 	27 ; 	9,38 ; 	3 ; 	1,04 ; 	3 ; 	1,04 ; 	9 ; 	3,13 ; 	0 ; 	0 ;41784,5739566782;41784,5739566782;41784,5739566782;41784,5739566782
40920;Steinbach an der Steyr        ;1.624; 	848 ; 	52,22 ; 	46 ; 	5,42 ; 	802 ; 	94,58 ; 	331 ; 	41,27 ; 	153 ; 	19,08 ; 	0 ; 	0 ; 	156 ; 	19,45 ; 	69 ; 	8,60 ; 	0 ; 	0 ; 	39 ; 	4,86 ; 	19 ; 	2,37 ; 	8 ; 	1,00 ; 	27 ; 	3,37 ; 	0 ; 	0 ;41784,5584697569;41784,5584697569;41784,5660301736;41784,5660301736
40921;Vorderstoder                  ;644; 	259 ; 	40,22 ; 	9 ; 	3,47 ; 	250 ; 	96,53 ; 	101 ; 	40,40 ; 	38 ; 	15,20 ; 	0 ; 	0 ; 	65 ; 	26,00 ; 	21 ; 	8,40 ; 	3 ; 	1,20 ; 	17 ; 	6,80 ; 	0 ; 	0 ; 	2 ; 	0,80 ; 	3 ; 	1,20 ; 	0 ; 	0 ;41784,621662037;41784,621662037;41784,621662037;41784,621662037
40922;Wartberg an der Krems         ;2.324; 	1.033 ; 	44,45 ; 	64 ; 	6,20 ; 	969 ; 	93,80 ; 	384 ; 	39,63 ; 	151 ; 	15,58 ; 	0 ; 	0 ; 	197 ; 	20,33 ; 	109 ; 	11,25 ; 	3 ; 	0,31 ; 	62 ; 	6,40 ; 	8 ; 	0,83 ; 	21 ; 	2,17 ; 	34 ; 	3,51 ; 	0 ; 	0 ;41784,5954940625;41784,5954940625;41784,5954940625;41784,5954940625
40923;Windischgarsten               ;1.942; 	755 ; 	38,88 ; 	21 ; 	2,78 ; 	734 ; 	97,22 ; 	212 ; 	28,88 ; 	200 ; 	27,25 ; 	0 ; 	0 ; 	166 ; 	22,62 ; 	63 ; 	8,58 ; 	0 ; 	0 ; 	56 ; 	7,63 ; 	8 ; 	1,09 ; 	11 ; 	1,50 ; 	18 ; 	2,45 ; 	0 ; 	0 ;41784,6223292477;41784,6223292477;41784,6223292477;41784,6223292477
40999;Wahlkarten Kirchdorf an der Krems        ;0; 	2.090 ; 	0 ; 	69 ; 	3,30 ; 	2.021 ; 	96,70 ; 	543 ; 	26,87 ; 	454 ; 	22,46 ; 	0 ; 	0 ; 	315 ; 	15,59 ; 	339 ; 	16,77 ; 	11 ; 	0,54 ; 	222 ; 	10,98 ; 	17 ; 	0,84 ; 	40 ; 	1,98 ; 	80 ; 	3,96 ; 	0 ; 	0 ;41785,5160926273;41785,5160926273;41785,5160926273;41785,5160926273
41000;Bezirk Linz-Land                     ;106.390; 	52.278 ; 	49,14 ; 	1.685 ; 	3,22 ; 	50.593 ; 	96,78 ; 	11.033 ; 	21,81 ; 	14.754 ; 	29,16 ; 	0 ; 	0 ; 	10.754 ; 	21,26 ; 	6.792 ; 	13,42 ; 	246 ; 	0,49 ; 	4.060 ; 	8,02 ; 	480 ; 	0,95 ; 	1.091 ; 	2,16 ; 	1.383 ; 	2,73 ; 	0 ; 	0 ;41784,7523798611;41784,7523798611;41785,6680579051;41785,6680579051
41001;Allhaming                     ;898; 	406 ; 	45,21 ; 	22 ; 	5,42 ; 	384 ; 	94,58 ; 	159 ; 	41,41 ; 	66 ; 	17,19 ; 	0 ; 	0 ; 	77 ; 	20,05 ; 	35 ; 	9,11 ; 	2 ; 	0,52 ; 	29 ; 	7,55 ; 	3 ; 	0,78 ; 	5 ; 	1,30 ; 	8 ; 	2,08 ; 	0 ; 	0 ;41784,5494911227;41784,5494911227;41784,5494911227;41784,5494911227
41002;Ansfelden                     ;10.872; 	4.094 ; 	37,66 ; 	138 ; 	3,37 ; 	3.956 ; 	96,63 ; 	616 ; 	15,57 ; 	1.400 ; 	35,39 ; 	0 ; 	0 ; 	1.090 ; 	27,55 ; 	382 ; 	9,66 ; 	21 ; 	0,53 ; 	230 ; 	5,81 ; 	25 ; 	0,63 ; 	83 ; 	2,10 ; 	109 ; 	2,76 ; 	0 ; 	0 ;41784,646637963;41784,646637963;41784,646637963;41784,646637963
41003;Asten                         ;4.728; 	1.933 ; 	40,88 ; 	87 ; 	4,50 ; 	1.846 ; 	95,50 ; 	226 ; 	12,24 ; 	680 ; 	36,84 ; 	0 ; 	0 ; 	505 ; 	27,36 ; 	121 ; 	6,55 ; 	17 ; 	0,92 ; 	133 ; 	7,20 ; 	49 ; 	2,65 ; 	31 ; 	1,68 ; 	84 ; 	4,55 ; 	0 ; 	0 ;41784,6513472222;41784,6513472222;41784,6513472222;41784,6513472222
41004;Eggendorf im Traunkreis       ;668; 	338 ; 	50,60 ; 	16 ; 	4,73 ; 	322 ; 	95,27 ; 	103 ; 	31,99 ; 	69 ; 	21,43 ; 	0 ; 	0 ; 	75 ; 	23,29 ; 	34 ; 	10,56 ; 	3 ; 	0,93 ; 	26 ; 	8,07 ; 	0 ; 	0 ; 	1 ; 	0,31 ; 	11 ; 	3,42 ; 	0 ; 	0 ;41784,5466496875;41784,5466496875;41784,5466496875;41784,5466496875
41005;Enns                          ;8.123; 	3.491 ; 	42,98 ; 	101 ; 	2,89 ; 	3.390 ; 	97,11 ; 	661 ; 	19,50 ; 	1.046 ; 	30,86 ; 	0 ; 	0 ; 	737 ; 	21,74 ; 	496 ; 	14,63 ; 	8 ; 	0,24 ; 	248 ; 	7,32 ; 	22 ; 	0,65 ; 	79 ; 	2,33 ; 	93 ; 	2,74 ; 	0 ; 	0 ;41784,6756017014;41784,6756017014;41784,678700081;41784,678700081
41006;Hargelsberg                   ;1.059; 	487 ; 	45,99 ; 	16 ; 	3,29 ; 	471 ; 	96,71 ; 	169 ; 	35,88 ; 	92 ; 	19,53 ; 	0 ; 	0 ; 	89 ; 	18,90 ; 	54 ; 	11,46 ; 	1 ; 	0,21 ; 	37 ; 	7,86 ; 	2 ; 	0,42 ; 	18 ; 	3,82 ; 	9 ; 	1,91 ; 	0 ; 	0 ;41784,650863044;41784,650863044;41784,650863044;41784,650863044
41007;Hörsching                     ;4.536; 	1.821 ; 	40,15 ; 	71 ; 	3,90 ; 	1.750 ; 	96,10 ; 	400 ; 	22,86 ; 	485 ; 	27,71 ; 	0 ; 	0 ; 	430 ; 	24,57 ; 	208 ; 	11,89 ; 	5 ; 	0,29 ; 	117 ; 	6,69 ; 	20 ; 	1,14 ; 	26 ; 	1,49 ; 	59 ; 	3,37 ; 	0 ; 	0 ;41784,6280118866;41784,6280118866;41784,6280118866;41784,6280118866
41008;Hofkirchen im Traunkreis      ;1.405; 	631 ; 	44,91 ; 	19 ; 	3,01 ; 	612 ; 	96,99 ; 	190 ; 	31,05 ; 	155 ; 	25,33 ; 	0 ; 	0 ; 	108 ; 	17,65 ; 	73 ; 	11,93 ; 	0 ; 	0 ; 	51 ; 	8,33 ; 	11 ; 	1,80 ; 	9 ; 	1,47 ; 	15 ; 	2,45 ; 	0 ; 	0 ;41784,6383366898;41784,6383366898;41784,6383366898;41784,6383366898
41009;Kematen an der Krems          ;1.983; 	845 ; 	42,61 ; 	35 ; 	4,14 ; 	810 ; 	95,86 ; 	250 ; 	30,86 ; 	185 ; 	22,84 ; 	0 ; 	0 ; 	170 ; 	20,99 ; 	89 ; 	10,99 ; 	3 ; 	0,37 ; 	68 ; 	8,40 ; 	12 ; 	1,48 ; 	20 ; 	2,47 ; 	13 ; 	1,60 ; 	0 ; 	0 ;41784,6910669792;41784,6910669792;41784,6910669792;41784,6910669792
41010;Kirchberg-Thening             ;1.871; 	990 ; 	52,91 ; 	32 ; 	3,23 ; 	958 ; 	96,77 ; 	169 ; 	17,64 ; 	328 ; 	34,24 ; 	0 ; 	0 ; 	193 ; 	20,15 ; 	165 ; 	17,22 ; 	5 ; 	0,52 ; 	63 ; 	6,58 ; 	2 ; 	0,21 ; 	16 ; 	1,67 ; 	17 ; 	1,77 ; 	0 ; 	0 ;41784,7121081018;41784,7121081018;41784,7121081018;41784,7121081018
41011;Kronstorf                     ;2.557; 	1.202 ; 	47,01 ; 	46 ; 	3,83 ; 	1.156 ; 	96,17 ; 	270 ; 	23,36 ; 	365 ; 	31,57 ; 	0 ; 	0 ; 	263 ; 	22,75 ; 	123 ; 	10,64 ; 	5 ; 	0,43 ; 	74 ; 	6,40 ; 	10 ; 	0,87 ; 	20 ; 	1,73 ; 	26 ; 	2,25 ; 	0 ; 	0 ;41784,7262129282;41784,7262129282;41784,7262129282;41784,7262129282
41012;Leonding                      ;20.169; 	9.456 ; 	46,88 ; 	264 ; 	2,79 ; 	9.192 ; 	97,21 ; 	1.894 ; 	20,60 ; 	2.592 ; 	28,20 ; 	0 ; 	0 ; 	1.786 ; 	19,43 ; 	1.494 ; 	16,25 ; 	60 ; 	0,65 ; 	830 ; 	9,03 ; 	97 ; 	1,06 ; 	234 ; 	2,55 ; 	205 ; 	2,23 ; 	0 ; 	0 ;41784,7130147338;41784,7130147338;41784,7130147338;41784,7130147338
41013;St.Florian                    ;5.027; 	2.403 ; 	47,80 ; 	90 ; 	3,75 ; 	2.313 ; 	96,25 ; 	718 ; 	31,04 ; 	548 ; 	23,69 ; 	0 ; 	0 ; 	398 ; 	17,21 ; 	309 ; 	13,36 ; 	4 ; 	0,17 ; 	228 ; 	9,86 ; 	22 ; 	0,95 ; 	44 ; 	1,90 ; 	42 ; 	1,82 ; 	0 ; 	0 ;41784,7523796296;41784,7523796296;41784,7523796296;41784,7523796296
41014;Neuhofen an der Krems         ;4.559; 	1.945 ; 	42,66 ; 	62 ; 	3,19 ; 	1.883 ; 	96,81 ; 	475 ; 	25,23 ; 	485 ; 	25,76 ; 	0 ; 	0 ; 	339 ; 	18,00 ; 	324 ; 	17,21 ; 	11 ; 	0,58 ; 	131 ; 	6,96 ; 	26 ; 	1,38 ; 	47 ; 	2,50 ; 	45 ; 	2,39 ; 	0 ; 	0 ;41784,719084838;41784,719084838;41784,719084838;41784,719084838
41015;Niederneukirchen              ;1.628; 	820 ; 	50,37 ; 	19 ; 	2,32 ; 	801 ; 	97,68 ; 	299 ; 	37,33 ; 	163 ; 	20,35 ; 	0 ; 	0 ; 	129 ; 	16,10 ; 	117 ; 	14,61 ; 	4 ; 	0,50 ; 	53 ; 	6,62 ; 	6 ; 	0,75 ; 	15 ; 	1,87 ; 	15 ; 	1,87 ; 	0 ; 	0 ;41784,6934001157;41784,6934001157;41784,6934001157;41784,6934001157
41016;Oftering                      ;1.569; 	717 ; 	45,70 ; 	23 ; 	3,21 ; 	694 ; 	96,79 ; 	171 ; 	24,64 ; 	220 ; 	31,70 ; 	0 ; 	0 ; 	135 ; 	19,45 ; 	77 ; 	11,10 ; 	3 ; 	0,43 ; 	67 ; 	9,65 ; 	6 ; 	0,86 ; 	3 ; 	0,43 ; 	12 ; 	1,73 ; 	0 ; 	0 ;41784,6331029745;41784,6331029745;41784,6331029745;41784,6331029745
