Europawahl 2014 - Stimmen;;;;;;;Stand:;41785,6680579051;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;leer;;FPÖ;;GRÜNE;;BZÖ;;NEOS;;REKOS;;ANDERS;;EUSTOP;;WANDL;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40413;Helpfau-Uttendorf             ;2.394; 	870 ; 	36,34 ; 	35 ; 	4,02 ; 	835 ; 	95,98 ; 	247 ; 	29,58 ; 	168 ; 	20,12 ; 	0 ; 	0 ; 	236 ; 	28,26 ; 	79 ; 	9,46 ; 	1 ; 	0,12 ; 	47 ; 	5,63 ; 	11 ; 	1,32 ; 	16 ; 	1,92 ; 	30 ; 	3,59 ; 	0 ; 	0 ;41784,5653952894;41784,5653952894;41784,5653952894;41784,5653952894
40414;Hochburg-Ach                  ;2.251; 	823 ; 	36,56 ; 	20 ; 	2,43 ; 	803 ; 	97,57 ; 	309 ; 	38,48 ; 	141 ; 	17,56 ; 	0 ; 	0 ; 	153 ; 	19,05 ; 	98 ; 	12,20 ; 	4 ; 	0,50 ; 	59 ; 	7,35 ; 	14 ; 	1,74 ; 	15 ; 	1,87 ; 	10 ; 	1,25 ; 	0 ; 	0 ;41784,5847425926;41784,5847425926;41784,5847425926;41784,5847425926
40415;Höhnhart                      ;1.145; 	404 ; 	35,28 ; 	15 ; 	3,71 ; 	389 ; 	96,29 ; 	152 ; 	39,07 ; 	63 ; 	16,20 ; 	0 ; 	0 ; 	112 ; 	28,79 ; 	27 ; 	6,94 ; 	2 ; 	0,51 ; 	17 ; 	4,37 ; 	12 ; 	3,08 ; 	1 ; 	0,26 ; 	3 ; 	0,77 ; 	0 ; 	0 ;41784,546905706;41784,546905706;41784,546905706;41784,546905706
40416;Jeging;504; 	230 ; 	45,63 ; 	8 ; 	3,48 ; 	222 ; 	96,52 ; 	75 ; 	33,78 ; 	33 ; 	14,86 ; 	0 ; 	0 ; 	64 ; 	28,83 ; 	12 ; 	5,41 ; 	3 ; 	1,35 ; 	17 ; 	7,66 ; 	5 ; 	2,25 ; 	2 ; 	0,90 ; 	11 ; 	4,95 ; 	0 ; 	0 ;41784,5533993403;41784,5533993403;41784,5533993403;41784,5533993403
40417;Kirchberg bei Mattighofen     ;932; 	343 ; 	36,80 ; 	14 ; 	4,08 ; 	329 ; 	95,92 ; 	123 ; 	37,39 ; 	39 ; 	11,85 ; 	0 ; 	0 ; 	82 ; 	24,92 ; 	34 ; 	10,33 ; 	2 ; 	0,61 ; 	32 ; 	9,73 ; 	5 ; 	1,52 ; 	5 ; 	1,52 ; 	7 ; 	2,13 ; 	0 ; 	0 ;41784,5744351505;41784,5744351505;41784,5744351505;41784,5744351505
40418;Lengau                        ;3.500; 	1.198 ; 	34,23 ; 	56 ; 	4,67 ; 	1.142 ; 	95,33 ; 	298 ; 	26,09 ; 	346 ; 	30,30 ; 	0 ; 	0 ; 	236 ; 	20,67 ; 	122 ; 	10,68 ; 	9 ; 	0,79 ; 	69 ; 	6,04 ; 	10 ; 	0,88 ; 	15 ; 	1,31 ; 	37 ; 	3,24 ; 	0 ; 	0 ;41784,6033082986;41784,6033082986;41784,6033082986;41784,6033082986
40419;Lochen                        ;2.055; 	761 ; 	37,03 ; 	29 ; 	3,81 ; 	732 ; 	96,19 ; 	318 ; 	43,44 ; 	89 ; 	12,16 ; 	0 ; 	0 ; 	148 ; 	20,22 ; 	65 ; 	8,88 ; 	2 ; 	0,27 ; 	57 ; 	7,79 ; 	17 ; 	2,32 ; 	8 ; 	1,09 ; 	28 ; 	3,83 ; 	0 ; 	0 ;41784,6233740394;41784,6233740394;41784,6233740394;41784,6233740394
40420;Maria Schmolln                ;1.147; 	398 ; 	34,70 ; 	22 ; 	5,53 ; 	376 ; 	94,47 ; 	166 ; 	44,15 ; 	48 ; 	12,77 ; 	0 ; 	0 ; 	82 ; 	21,81 ; 	41 ; 	10,90 ; 	1 ; 	0,27 ; 	21 ; 	5,59 ; 	5 ; 	1,33 ; 	4 ; 	1,06 ; 	8 ; 	2,13 ; 	0 ; 	0 ;41784,5317662384;41784,5317662384;41784,5317662384;41784,5317662384
40421;Mattighofen                   ;3.705; 	1.181 ; 	31,88 ; 	43 ; 	3,64 ; 	1.138 ; 	96,36 ; 	214 ; 	18,80 ; 	323 ; 	28,38 ; 	0 ; 	0 ; 	307 ; 	26,98 ; 	104 ; 	9,14 ; 	5 ; 	0,44 ; 	92 ; 	8,08 ; 	18 ; 	1,58 ; 	21 ; 	1,85 ; 	54 ; 	4,75 ; 	0 ; 	0 ;41784,5946873843;41784,5946873843;41784,5946873843;41784,5946873843
40422;Mauerkirchen                  ;1.655; 	550 ; 	33,23 ; 	25 ; 	4,55 ; 	525 ; 	95,45 ; 	141 ; 	26,86 ; 	129 ; 	24,57 ; 	0 ; 	0 ; 	155 ; 	29,52 ; 	36 ; 	6,86 ; 	5 ; 	0,95 ; 	39 ; 	7,43 ; 	8 ; 	1,52 ; 	4 ; 	0,76 ; 	8 ; 	1,52 ; 	0 ; 	0 ;41784,6235212616;41784,6235212616;41784,6235212616;41784,6235212616
40423;Mining                        ;948; 	408 ; 	43,04 ; 	11 ; 	2,70 ; 	397 ; 	97,30 ; 	158 ; 	39,80 ; 	66 ; 	16,62 ; 	0 ; 	0 ; 	83 ; 	20,91 ; 	50 ; 	12,59 ; 	1 ; 	0,25 ; 	20 ; 	5,04 ; 	3 ; 	0,76 ; 	7 ; 	1,76 ; 	9 ; 	2,27 ; 	0 ; 	0 ;41784,5655177431;41784,5655177431;41784,5655177431;41784,5655177431
40424;Moosbach                      ;762; 	333 ; 	43,70 ; 	20 ; 	6,01 ; 	313 ; 	93,99 ; 	102 ; 	32,59 ; 	39 ; 	12,46 ; 	0 ; 	0 ; 	113 ; 	36,10 ; 	19 ; 	6,07 ; 	1 ; 	0,32 ; 	27 ; 	8,63 ; 	3 ; 	0,96 ; 	3 ; 	0,96 ; 	6 ; 	1,92 ; 	0 ; 	0 ;41784,5256158565;41784,5256158565;41784,5256158565;41784,5256158565
